q,K,t_max,n_t,t_fft_s,t_direct_s,fft_speedup,phi,factors
105,50,59.51081288974305,218,0.005089116981253028,0.004237877205014229,0.8327333053308573,48,"[3, 5, 7]"
1001,200,153.43786774813253,823,0.14524065307341516,0.25438997405581176,1.751506679932268,720,"[7, 11, 13]"
