q,phi,N_afe,N_co,t_max,n_t,t_direct_ms,t_aggregate_ms,t_fft_ms,speedup_agg,speedup_fft,theoretical_speedup_fft,err_fft,rel_err_fft
101,100,41,41,100.0,400,2.6705588679760695,3.101933980360627,1.3358951546251774,0.8609334966134881,1.9990781901783072,5.812423573283736,7.119291619286993e-15,7.932850229222458e-16
251,250,64,64,100.0,400,4.468085942789912,12.49288721010089,2.4858631659299135,0.3576503867878776,1.797398185076083,7.784198391022414,9.057678187205883e-15,8.440246386935286e-16
503,502,90,90,100.0,400,10.488843079656363,37.04617312178016,9.244028013199568,0.28312892252532745,1.1346615419900632,9.835177266496716,1.4762209355896038e-14,1.1674058919539954e-15
1009,1008,127,127,100.0,400,16.552019165828824,89.83163302764297,9.2515021096915,0.1842560199338182,1.78911694226277,12.5701851997564,1.98407136377936e-14,1.4338195232180452e-15
2003,2002,179,179,100.0,400,36.627962021157146,357.2542001493275,22.595067974179983,0.10252633000772879,1.6210600500522037,16.189371366428364,3.0664673470028113e-14,1.9307979690185116e-15
5003,5002,283,283,100.0,400,125.45990315265954,nan,66.86936086043715,nan,1.8761941424041202,22.92450834989421,2.67782479420499e-14,1.405370806101439e-15
