M,Q,K,n_t,t_max,indep_total_s,batch_total_s,speedup,indep_per_q_avg_ms,batch_per_q_avg_ms,indep_stageA_total_ms,batch_stageA_once_ms,indep_stageE_total_ms,batch_stageE_once_ms
1,1009,200,823,200.0,0.26427394803613424,0.13447110285051167,1.9652843059517502,264.27394803613424,134.47110285051167,57.50278104096651,57.61163402348757,0.5219441372901201,0.44543202966451645
2,"1009,2003",200,823,200.0,0.4855058710090816,0.38974431389942765,1.245703538690663,242.7529355045408,194.87215694971383,138.56158987618983,118.2358751539141,0.9766442235559225,0.46525895595550537
3,"1009,2003,5003",200,823,200.0,1.2674362249672413,1.1332599711604416,1.1183984762731936,422.4787416557471,377.7533237201472,276.7635441850871,139.34222282841802,1.1680619791150093,0.40112901479005814
4,"1009,2003,5003,10007",200,823,200.0,3.493183484999463,3.3413839109707624,1.045430150522452,873.2958712498657,835.3459777426906,571.848075138405,343.2552230078727,1.8177339807152748,0.49390201456844807
