q,phi,x,K_target,t_max,n_t,t_zerofind_s,t_partialsum_s,t_total_single_query_s,min_zeros_per_char,median_zeros_per_char,max_zeros_per_char,pi_q_a_estimate
101,100,1000000.0,50,59.852181339544856,219,0.005403092131018639,0.0021436340175569057,0.007546726148575544,13,41,46,720.1050599835769
101,100,1000000.0,200,198.27614305298275,849,0.028591383015736938,0.003091624937951565,0.0316830079536885,79,150,162,720.4035520493236
1009,1008,1000000.0,50,44.43266741129543,210,0.02601284720003605,0.01847096998244524,0.04448381718248129,8,34,44,73.06919486740433
1009,1008,1000000.0,200,153.31592780580775,823,0.15148089500144124,0.03481048485264182,0.18629137985408306,55,135,153,72.34652965915309
