q,phi,N_afe,N_co,t_max,n_t,t_direct_ms,t_aggregate_ms,t_fft_ms,speedup_agg,speedup_fft,theoretical_speedup_fft,err_fft,rel_err_fft
11,10,14,13,100.0,400,0.36148494109511375,0.33759092912077904,0.389578053727746,1.0707780035339345,0.9278883593061303,2.753112656263374,2.2644195468014707e-15,4.115418073415517e-16
31,30,23,23,100.0,400,0.7894551381468773,0.7861079648137093,0.7241230923682451,1.0042579053806702,1.0902222929598386,4.0538940450874446,4.463041323674983e-15,6.539968411654385e-16
101,100,41,41,100.0,400,1.758744940161705,3.837117925286293,1.7343999352306128,0.4583505053550009,1.0140365577953365,5.812423573283736,7.119291619286993e-15,7.932850229222458e-16
251,250,64,64,100.0,400,3.5293831024318933,8.701985003426671,2.337627112865448,0.4055836801651682,1.5098144109500846,7.784198391022414,9.057678187205883e-15,8.440246386935286e-16
503,502,90,90,100.0,400,8.556463988497853,30.464228009805083,9.352179942652583,0.2808692209677497,0.9149165265174486,9.835177266496716,1.4762209355896038e-14,1.1674058919539954e-15
1009,1008,127,127,100.0,400,17.036805860698223,123.59403795562685,10.860989103093743,0.13784488428814692,1.5686237872980928,12.5701851997564,1.98407136377936e-14,1.4338195232180452e-15
