q,phi_q,K,x,M,t_setup,t_full_per_x,t_amort_per_a,amort_factor_vs_M1
1009,1008,200,1000000.0,1,0.16554665565490723,0.022721052169799805,0.18826770782470703,1.0
1009,1008,200,1000000.0,4,0.16554665565490723,0.022721052169799805,0.06410771608352661,0.34051360599352626
1009,1008,200,1000000.0,16,0.16554665565490723,0.022721052169799805,0.033067718148231506,0.17564200749190784
1009,1008,200,1000000.0,64,0.16554665565490723,0.022721052169799805,0.02530771866440773,0.13442410786650322
1009,1008,200,1000000.0,256,0.16554665565490723,0.022721052169799805,0.023367718793451786,0.12411963296015206
