q,phi,x,K_target,t_max,n_t,method,t_zerofind_s,t_partialsum_s,t_total_single_query_s,min_zeros_per_char,median_zeros_per_char,max_zeros_per_char,pi_q_a_estimate
15,8,1000000.0,50,82.51795355519062,232,fft,0.00379645312204957,0.00016294396482408047,0.0039593970868736506,0,10,50,9054.926706767406
35,24,1000000.0,50,70.78779124669245,225,fft,0.0049018170684576035,0.00035297893919050694,0.00525479600764811,0,46,50,3019.125349730739
105,48,1000000.0,50,59.51081288974305,218,fft,0.0065885279327631,0.00035628490149974823,0.006944812834262848,0,0,50,1507.0491875902242
105,48,1000000.0,200,197.3144787547408,848,fft,0.03781781694851816,0.0005579120479524136,0.03837572899647057,0,0,171,1507.868672250698
1001,720,1000000.0,200,153.43786774813253,823,fft,0.15227019507437944,0.014314289903268218,0.16658448497764766,0,138,165,99.9461357713572
