anchor_log10,K_compute,kernel,N,sigma_pred,sigma_eff,sigma_eff_hard,ratio_obs_over_hard,median_abs_err,mean_abs_err,ks_D_eff,ks_p_eff
7,500,antipair_03,20,16.447081746474993,20.66449660148711,11.86995788834712,1.740907322154335,17.81909597828053,17.848318628343986,0.1823216446524267,0.47796769528093247
7,500,antipair_05,20,16.447081746474993,30.720230113817053,11.86995788834712,2.588065636186921,24.438298408407718,25.61512541429256,0.14456569807917188,0.7645557543188966
7,500,boundary_pair,20,16.447081746474993,11.785345509849918,11.86995788834712,0.9928717204144198,8.930864293361083,10.187184966093628,0.21975953717975377,0.2547068064245247
7,500,half_int,20,16.447081746474993,11.829421827146543,11.86995788834712,0.9965849869408239,9.063614998245612,10.208115348615683,0.22696823201244926,0.22219124768289117
7,500,hard,20,16.447081746474993,11.86995788834712,11.86995788834712,1.0,9.180754381697625,10.216221063095144,0.22967897759507516,0.21081321730605726
7,500,paired_hann,20,16.447081746474993,14.612956054975351,11.86995788834712,1.2310874387617723,10.560385298915207,12.126813946594485,0.14193147706310985,0.7838213767754948
7,500,paired_riesz,20,16.447081746474993,13.123848729316439,11.86995788834712,1.1056356604432673,9.81731560989283,10.577354340779129,0.0997043002645312,0.9838807767938047
7,500,paired_triangle,20,16.447081746474993,14.871760775978128,11.86995788834712,1.252890778203848,11.939825114095584,12.206779662624466,0.21991548892084328,0.2539680156214075
7,1000,antipair_03,20,12.926979197595465,17.902037801821884,8.885275724834317,2.0147982298158453,8.384802922839299,13.82830298228655,0.19845986543655908,0.370706911052281
7,1000,antipair_05,20,12.926979197595465,28.389465397816533,8.885275724834317,3.195113610089563,15.810938087059185,22.1728409518837,0.13819292217094287,0.810340290005109
7,1000,boundary_pair,20,12.926979197595465,8.829518189296012,8.885275724834317,0.9937247264727573,6.152277702232823,7.396217364771291,0.2211732423005824,0.24806734806764305
7,1000,half_int,20,12.926979197595465,8.8565207805897,8.885275724834317,0.9967637532998275,6.323343521216884,7.444359326595441,0.2197413442451139,0.2547930948947269
7,1000,hard,20,12.926979197595465,8.885275724834317,8.885275724834317,1.0,6.496691777836531,7.4888960062817205,0.20730338720094346,0.3188900457737702
7,1000,paired_hann,20,12.926979197595465,10.919090635193314,8.885275724834317,1.2288972197761394,6.5655483356677,8.81107875382877,0.10333198463122806,0.9767588856911646
7,1000,paired_riesz,20,12.926979197595465,9.526268474698657,8.885275724834317,1.0721410083057712,5.866619636071846,7.420040730264736,0.10635068381398816,0.9694153634292305
