anchor_log10,K_compute,kernel,N,wins_kernel,ties,p_kernel_beats_hard,p_hard_beats_kernel
7,500,paired_hann,20,7,0,0.9423408508300781,0.13158798217773438
7,500,paired_triangle,20,6,0,0.9793052673339844,0.057659149169921875
7,500,paired_riesz,20,9,0,0.7482776641845703,0.41190147399902344
7,500,antipair_03,20,5,0,0.9940910339355469,0.020694732666015625
7,500,antipair_05,20,4,0,0.9987115859985352,0.005908966064453125
7,500,half_int,20,11,0,0.41190147399902344,0.7482776641845703
7,500,boundary_pair,20,12,0,0.2517223358154297,0.8684120178222656
7,1000,paired_hann,20,8,0,0.8684120178222656,0.2517223358154297
7,1000,paired_triangle,20,9,0,0.7482776641845703,0.41190147399902344
7,1000,paired_riesz,20,10,0,0.5880985260009766,0.5880985260009766
7,1000,antipair_03,20,6,0,0.9793052673339844,0.057659149169921875
7,1000,antipair_05,20,4,0,0.9987115859985352,0.005908966064453125
7,1000,half_int,20,12,0,0.2517223358154297,0.8684120178222656
7,1000,boundary_pair,20,12,0,0.2517223358154297,0.8684120178222656
7,2000,paired_hann,20,11,0,0.41190147399902344,0.7482776641845703
7,2000,paired_triangle,20,10,0,0.5880985260009766,0.5880985260009766
7,2000,paired_riesz,20,9,0,0.7482776641845703,0.41190147399902344
7,2000,antipair_03,20,6,0,0.9793052673339844,0.057659149169921875
7,2000,antipair_05,20,3,0,0.9997987747192383,0.0012884140014648438
7,2000,half_int,20,10,0,0.5880985260009766,0.5880985260009766
7,2000,boundary_pair,20,11,0,0.41190147399902344,0.7482776641845703
7,4000,paired_hann,20,7,0,0.9423408508300781,0.13158798217773438
7,4000,paired_triangle,20,8,0,0.8684120178222656,0.2517223358154297
7,4000,paired_riesz,20,7,0,0.9423408508300781,0.13158798217773438
7,4000,antipair_03,20,6,0,0.9793052673339844,0.057659149169921875
7,4000,antipair_05,20,4,0,0.9987115859985352,0.005908966064453125
7,4000,half_int,20,10,0,0.5880985260009766,0.5880985260009766
