anchor_log10,x_anchor,x,pi_x,R_x,policy,K,pi_K,err,abs_err,sigma_pred,ratio_emp_over_pred
7,10000000,15475874,999409,999506.744137,log3x,4537,999401.206160,-7.793840,7.793840,6.686022,1.165692
7,10000000,15475874,999409,999506.744137,Kmax,8000,999402.668061,-6.331939,6.331939,5.374255,1.178199
7,10000000,16102620,1037283,1037315.038558,K=1,1,1037285.294898,2.294898,2.294898,inf,nan
7,10000000,16102620,1037283,1037315.038558,logx,17,1037273.033500,-9.966500,9.966500,37.400227,0.266482
7,10000000,16102620,1037283,1037315.038558,log2x,275,1037268.565173,-14.434827,14.434827,18.434858,0.783018
7,10000000,16102620,1037283,1037315.038558,log3x,4570,1037277.591178,-5.408822,5.408822,6.784973,0.797177
7,10000000,16102620,1037283,1037315.038558,Kmax,8000,1037279.921894,-3.078106,3.078106,5.468884,0.562840
7,10000000,16754749,1076512,1076560.658367,K=1,1,1076544.422655,32.422655,32.422655,inf,nan
7,10000000,16754749,1076512,1076560.658367,logx,17,1076514.350720,2.350720,2.350720,38.058984,0.061765
7,10000000,16754749,1076512,1076560.658367,log2x,277,1076522.391404,10.391404,10.391404,18.715833,0.555220
7,10000000,16754749,1076512,1076560.658367,log3x,4603,1076512.208212,0.208212,0.208212,6.885561,0.030239
7,10000000,16754749,1076512,1076560.658367,Kmax,8000,1076512.810774,0.810774,0.810774,5.565211,0.145686
7,10000000,17433288,1117340,1117298.415319,K=1,1,1117301.121553,-38.878447,38.878447,inf,nan
7,10000000,17433288,1117340,1117298.415319,logx,17,1117345.580544,5.580544,5.580544,38.729565,0.144090
7,10000000,17433288,1117340,1117298.415319,log2x,278,1117342.939558,2.939558,2.939558,19.023492,0.154523
7,10000000,17433288,1117340,1117298.415319,log3x,4636,1117343.323061,3.323061,3.323061,6.987812,0.475551
7,10000000,17433288,1117340,1117298.415319,Kmax,8000,1117344.198553,4.198553,4.198553,5.663267,0.741366
7,10000000,18139307,1159624,1159585.305908,K=1,1,1159606.649775,-17.350225,17.350225,inf,nan
7,10000000,18139307,1159624,1159585.305908,logx,17,1159644.713878,20.713878,20.713878,39.412184,0.525570
7,10000000,18139307,1159624,1159585.305908,log2x,279,1159604.041278,-19.958722,19.958722,19.336392,1.032184
7,10000000,18139307,1159624,1159585.305908,log3x,4669,1159624.062817,0.062817,0.062817,7.091754,0.008858
7,10000000,18139307,1159624,1159585.305908,Kmax,8000,1159627.198243,3.198243,3.198243,5.763084,0.554953
7,10000000,18873918,1203537,1203480.430888,K=1,1,1203514.270772,-22.729228,22.729228,inf,nan
7,10000000,18873918,1203537,1203480.430888,logx,17,1203500.471657,-36.528343,36.528343,40.107061,0.910771
7,10000000,18873918,1203537,1203480.430888,log2x,281,1203513.574740,-23.425260,23.425260,19.632032,1.193216
7,10000000,18873918,1203537,1203480.430888,log3x,4702,1203537.002081,0.002081,0.002081,7.197414,0.000289
7,10000000,18873918,1203537,1203480.430888,Kmax,8000,1203539.168829,2.168829,2.168829,5.864693,0.369811
7,10000000,19638280,1249022,1249045.273380,K=1,1,1249081.351484,59.351484,59.351484,inf,nan
7,10000000,19638280,1249022,1249045.273380,logx,17,1249061.051781,39.051781,39.051781,40.814418,0.956813
7,10000000,19638280,1249022,1249045.273380,log2x,282,1249000.614689,-21.385311,21.385311,19.955387,1.071656
7,10000000,19638280,1249022,1249045.273380,log3x,4736,1249023.137050,1.137050,1.137050,7.304233,0.155670
7,10000000,19638280,1249022,1249045.273380,Kmax,8000,1249022.713276,0.713276,0.713276,5.968127,0.119514
7,10000000,20433597,1296325,1296343.557435,K=1,1,1296370.567196,45.567196,45.567196,inf,nan
7,10000000,20433597,1296325,1296343.557435,logx,17,1296342.751306,17.751306,17.751306,41.534483,0.427387
7,10000000,20433597,1296325,1296343.557435,log2x,283,1296327.328252,2.328252,2.328252,20.284257,0.114781
7,10000000,20433597,1296325,1296343.557435,log3x,4769,1296320.260327,-4.739673,4.739673,7.413413,0.639338
7,10000000,20433597,1296325,1296343.557435,Kmax,8000,1296325.549510,0.549510,0.549510,6.073419,0.090478
7,10000000,21261123,1345383,1345441.523636,K=1,1,1345450.612480,67.612480,67.612480,inf,nan
7,10000000,21261123,1345383,1345441.523636,logx,17,1345445.025796,62.025796,62.025796,42.267486,1.467459
7,10000000,21261123,1345383,1345441.523636,log2x,285,1345400.909283,17.909283,17.909283,20.595338,0.869579
7,10000000,21261123,1345383,1345441.523636,log3x,4803,1345385.995506,2.995506,2.995506,7.523801,0.398137
7,10000000,21261123,1345383,1345441.523636,Kmax,8000,1345387.218304,4.218304,4.218304,6.180603,0.682507
7,10000000,22122163,1396442,1396407.964543,K=1,1,1396395.592586,-46.407414,46.407414,inf,nan
7,10000000,22122163,1396442,1396407.964543,logx,17,1396404.524935,-37.475065,37.475065,43.013665,0.871236
7,10000000,22122163,1396442,1396407.964543,log2x,286,1396462.342625,20.342625,20.342625,20.935213,0.971694
7,10000000,22122163,1396442,1396407.964543,log3x,4837,1396442.086410,0.086410,0.086410,7.636016,0.011316
7,10000000,22122163,1396442,1396407.964543,Kmax,8000,1396445.528440,3.528440,3.528440,6.289714,0.560986
7,10000000,23018073,1449325,1449314.200884,K=1,1,1449283.439249,-41.560751,41.560751,inf,nan
7,10000000,23018073,1449325,1449314.200884,logx,17,1449290.233358,-34.766642,34.766642,43.773257,0.794244
7,10000000,23018073,1449325,1449314.200884,log2x,287,1449320.954066,-4.045934,4.045934,21.280890,0.190121
7,10000000,23018073,1449325,1449314.200884,log3x,4871,1449328.470734,3.470734,3.470734,7.750088,0.447832
7,10000000,23018073,1449325,1449314.200884,Kmax,8000,1449323.740046,-1.259954,1.259954,6.400786,0.196844
7,10000000,23950266,1504204,1504234.411388,K=1,1,1504194.218603,-9.781397,9.781397,inf,nan
7,10000000,23950266,1504204,1504234.411388,logx,17,1504222.179991,18.179991,18.179991,44.546507,0.408113
7,10000000,23950266,1504204,1504234.411388,log2x,289,1504190.573356,-13.426644,13.426644,21.608230,0.621367
7,10000000,23950266,1504204,1504234.411388,log3x,4906,1504200.042686,-3.957314,3.957314,7.865435,0.503127
7,10000000,23950266,1504204,1504234.411388,Kmax,8000,1504201.269612,-2.730388,2.730388,6.513855,0.419166
7,10000000,24920212,1561240,1561245.605991,K=1,1,1561208.236630,-31.763370,31.763370,inf,nan
7,10000000,24920212,1561240,1561245.605991,logx,17,1561248.884941,8.884941,8.884941,45.333664,0.195990
7,10000000,24920212,1561240,1561245.605991,log2x,290,1561257.565716,17.565716,17.565716,21.965493,0.799696
7,10000000,24920212,1561240,1561245.605991,log3x,4940,1561257.241196,17.241196,17.241196,7.983310,2.159655
7,10000000,24920212,1561240,1561245.605991,Kmax,8000,1561256.632783,16.632783,16.632783,6.628958,2.509110
7,10000000,25929438,1620386,1620427.599668,K=1,1,1620404.888306,18.888306,18.888306,inf,nan
7,10000000,25929438,1620386,1620427.599668,logx,17,1620355.390337,-30.609663,30.609663,46.134981,0.663481
7,10000000,25929438,1620386,1620427.599668,log2x,291,1620388.401090,2.401090,2.401090,22.328861,0.107533
7,10000000,25929438,1620386,1620427.599668,log3x,4975,1620390.194230,4.194230,4.194230,8.102515,0.517645
7,10000000,25929438,1620386,1620427.599668,Kmax,8000,1620386.962537,0.962537,0.962537,6.746131,0.142680
7,10000000,26979536,1681858,1681863.454383,K=1,1,1681863.096171,5.096171,5.096171,inf,nan
7,10000000,26979536,1681858,1681863.454383,logx,17,1681857.416248,-0.583752,0.583752,46.950716,0.012433
7,10000000,26979536,1681858,1681863.454383,log2x,293,1681856.573665,-1.426335,1.426335,22.673320,0.062908
7,10000000,26979536,1681858,1681863.454383,log3x,5010,1681860.595034,2.595034,2.595034,8.223693,0.315556
7,10000000,26979536,1681858,1681863.454383,Kmax,8000,1681859.840984,1.840984,1.840984,6.865413,0.268153
7,10000000,28072162,1745640,1745639.390454,K=1,1,1745662.380742,22.380742,22.380742,inf,nan
7,10000000,28072162,1745640,1745639.390454,logx,17,1745649.824144,9.824144,9.824144,47.781132,0.205607
7,10000000,28072162,1745640,1745639.390454,log2x,294,1745646.334802,6.334802,6.334802,23.048885,0.274842
7,10000000,28072162,1745640,1745639.390454,log3x,5044,1745640.682483,0.682483,0.682483,8.347513,0.081759
7,10000000,28072162,1745640,1745639.390454,Kmax,8000,1745641.213798,1.213798,1.213798,6.986841,0.173726
7,10000000,29209037,1811789,1811844.815756,K=1,1,1811884.890633,95.890633,95.890633,inf,nan
7,10000000,29209037,1811789,1811844.815756,logx,17,1811819.159569,30.159569,30.159569,48.626496,0.620229
7,10000000,29209037,1811789,1811844.815756,log2x,295,1811786.229198,-2.770802,2.770802,23.430874,0.118254
7,10000000,29209037,1811789,1811844.815756,log3x,5080,1811794.534627,5.534627,5.534627,8.472107,0.653276
7,10000000,29209037,1811789,1811844.815756,Kmax,8000,1811797.825516,8.825516,8.825516,7.110455,1.241203
7,10000000,30391954,1880725,1880572.703013,K=1,1,1880618.027894,-106.972106,106.972106,inf,nan
7,10000000,30391954,1880725,1880572.703013,logx,17,1880665.570508,-59.429492,59.429492,49.487081,1.200909
7,10000000,30391954,1880725,1880572.703013,log2x,297,1880695.172285,-29.827715,29.827715,23.793363,1.253615
7,10000000,30391954,1880725,1880572.703013,log3x,5115,1880717.716050,-7.283950,7.283950,8.599410,0.847029
7,10000000,30391954,1880725,1880572.703013,Kmax,8000,1880722.888529,-2.111471,2.111471,7.236295,0.291789
7,10000000,31622777,1951958,1951919.498983,K=1,1,1951956.158609,-1.841391,1.841391,inf,nan
7,10000000,31622777,1951958,1951919.498983,logx,17,1951987.784473,29.784473,29.784473,50.363163,0.591394
7,10000000,31622777,1951958,1951919.498983,log2x,298,1951930.523689,-27.476311,27.476311,24.188191,1.135939
7,10000000,31622777,1951958,1951919.498983,log3x,5150,1951950.042406,-7.957594,7.957594,8.728823,0.911646
7,10000000,31622777,1951958,1951919.498983,Kmax,8000,1951955.336283,-2.663717,2.663717,7.364401,0.361702
7,10000000,31632777,1952541,1952498.499486,K=1,1,1952535.037311,-5.962689,5.962689,inf,nan
7,10000000,31632777,1952541,1952498.499486,logx,17,1952566.459637,25.459637,25.459637,50.370203,0.505450
7,10000000,31632777,1952541,1952498.499486,log2x,298,1952509.151000,-31.849000,31.849000,24.191573,1.316533
7,10000000,31632777,1952541,1952498.499486,log3x,5151,1952535.174716,-5.825284,5.825284,8.729394,0.667318
7,10000000,31632777,1952541,1952498.499486,Kmax,8000,1952533.443320,-7.556680,7.556680,7.365431,1.025966
8,100000000,104049831,5981207,5981154.834070,K=1,1,5981170.402855,-36.597145,36.597145,inf,nan
8,100000000,104049831,5981207,5981154.834070,logx,18,5981150.091834,-56.908166,56.908166,84.729106,0.671648
8,100000000,104049831,5981207,5981154.834070,log2x,341,5981206.834194,-0.165806,0.165806,39.277763,0.004221
8,100000000,104049831,5981207,5981154.834070,log3x,6291,5981208.052193,1.052193,1.052193,13.715393,0.076716
8,100000000,104049831,5981207,5981154.834070,Kmax,8000,5981214.389101,7.389101,7.389101,12.496674,0.591285
8,100000000,108263673,6209266,6209160.793481,K=1,1,6209215.541172,-50.458828,50.458828,inf,nan
8,100000000,108263673,6209266,6209160.793481,logx,19,6209348.741353,82.741353,82.741353,85.512313,0.967596
8,100000000,108263673,6209266,6209160.793481,log2x,342,6209295.627882,29.627882,29.627882,39.940787,0.741795
8,100000000,108263673,6209266,6209160.793481,log3x,6332,6209256.387976,-9.612024,9.612024,13.925404,0.690251
8,100000000,108263673,6209266,6209160.793481,Kmax,8000,6209262.056503,-3.943497,3.943497,12.719855,0.310027
8,100000000,112648169,6446060,6445892.323041,K=1,1,6445970.364911,-89.635089,89.635089,inf,nan
8,100000000,112648169,6446060,6445892.323041,logx,19,6446063.978660,3.978660,3.978660,87.039899,0.045711
8,100000000,112648169,6446060,6445892.323041,log2x,344,6446106.878651,46.878651,46.878651,40.576442,1.155317
8,100000000,112648169,6446060,6445892.323041,log3x,6373,6446057.551011,-2.448989,2.448989,14.138916,0.173209
8,100000000,112648169,6446060,6445892.323041,Kmax,8000,6446055.743228,-4.256772,4.256772,12.947081,0.328782
8,100000000,117210230,6691738,6691684.454653,K=1,1,6691762.083174,24.083174,24.083174,inf,nan
8,100000000,117210230,6691738,6691684.454653,logx,19,6691698.708145,-39.291855,39.291855,88.595181,0.443499
8,100000000,117210230,6691738,6691684.454653,log2x,345,6691746.862818,8.862818,8.862818,41.262082,0.214793
8,100000000,117210230,6691738,6691684.454653,log3x,6414,6691739.229954,1.229954,1.229954,14.355990,0.085675
8,100000000,117210230,6691738,6691684.454653,Kmax,8000,6691748.733634,10.733634,10.733634,13.178428,0.814485
8,100000000,121957046,6946709,6946885.075312,K=1,1,6946937.899223,228.899223,228.899223,inf,nan
8,100000000,121957046,6946709,6946885.075312,logx,19,6946733.305194,24.305194,24.305194,90.178664,0.269523
8,100000000,121957046,6946709,6946885.075312,log2x,347,6946733.335440,24.335440,24.335440,41.919784,0.580524
8,100000000,121957046,6946709,6946885.075312,log3x,6455,6946716.630391,7.630391,7.630391,14.576685,0.523465
8,100000000,121957046,6946709,6946885.075312,Kmax,8000,6946713.674839,4.674839,4.674839,13.413969,0.348505
8,100000000,126896100,7211882,7211855.568630,K=1,1,7211866.120207,-15.879793,15.879793,inf,nan
8,100000000,126896100,7211882,7211855.568630,logx,19,7211853.075184,-28.924816,28.924816,91.790867,0.315116
8,100000000,126896100,7211882,7211855.568630,log2x,348,7211900.240004,18.240004,18.240004,42.628832,0.427880
8,100000000,126896100,7211882,7211855.568630,log3x,6496,7211864.557790,-17.442210,17.442210,14.801062,1.178443
8,100000000,126896100,7211882,7211855.568630,Kmax,8000,7211869.850095,-12.149905,12.149905,13.653782,0.889856
8,100000000,132035178,7487059,7486971.235362,K=1,1,7486934.684877,-124.315123,124.315123,inf,nan
8,100000000,132035178,7487059,7486971.235362,logx,19,7487059.744160,0.744160,0.744160,93.432316,0.007965
8,100000000,132035178,7487059,7486971.235362,log2x,350,7487067.791122,8.791122,8.791122,43.309358,0.202984
8,100000000,132035178,7487059,7486971.235362,log3x,6538,7487056.436850,-2.563150,2.563150,15.028297,0.170555
8,100000000,132035178,7487059,7486971.235362,Kmax,8000,7487052.817360,-6.182640,6.182640,13.897946,0.444860
8,100000000,137382380,7772578,7772621.763066,K=1,1,7772547.885993,-30.114007,30.114007,inf,nan
8,100000000,137382380,7772578,7772621.763066,logx,19,7772518.253075,-59.746925,59.746925,95.103546,0.628230
8,100000000,137382380,7772578,7772621.763066,log2x,351,7772631.469682,53.469682,53.469682,44.042633,1.214044
8,100000000,137382380,7772578,7772621.763066,log3x,6579,7772567.337893,-10.662107,10.662107,15.260221,0.698686
8,100000000,137382380,7772578,7772621.763066,Kmax,8000,7772573.557433,-4.442567,4.442567,14.146539,0.314039
8,100000000,142946134,8069197,8069211.850724,K=1,1,8069122.497521,-74.502479,74.502479,inf,nan
8,100000000,142946134,8069197,8069211.850724,logx,19,8069185.754951,-11.245049,11.245049,96.805105,0.116162
8,100000000,142946134,8069197,8069211.850724,log2x,353,8069186.521362,-10.478638,10.478638,44.746787,0.234176
8,100000000,142946134,8069197,8069211.850724,log3x,6621,8069185.049683,-11.950317,11.950317,15.495113,0.771231
8,100000000,142946134,8069197,8069211.850724,Kmax,8000,8069180.412974,-16.587026,16.587026,14.399644,1.151905
8,100000000,148735211,8377294,8377161.879791,K=1,1,8377084.576711,-209.423289,209.423289,inf,nan
8,100000000,148735211,8377294,8377161.879791,logx,19,8377236.537781,-57.462219,57.462219,98.537547,0.583150
8,100000000,148735211,8377294,8377161.879791,log2x,354,8377276.102684,-17.897316,17.897316,45.505138,0.393303
8,100000000,148735211,8377294,8377161.879791,log3x,6663,8377298.810634,4.810634,4.810634,15.733928,0.305749
8,100000000,148735211,8377294,8377161.879791,Kmax,8000,8377296.220763,2.220763,2.220763,14.657343,0.151512
8,100000000,154758735,8696790,8696908.312884,K=1,1,8696867.854251,77.854251,77.854251,inf,nan
8,100000000,154758735,8696790,8696908.312884,logx,19,8696771.555882,-18.444118,18.444118,100.301440,0.183887
8,100000000,154758735,8696790,8696908.312884,log2x,356,8696770.552710,-19.447290,19.447290,46.233754,0.420630
8,100000000,154758735,8696790,8696908.312884,log3x,6706,8696794.100724,4.100724,4.100724,15.975811,0.256683
8,100000000,154758735,8696790,8696908.312884,Kmax,8000,8696795.223689,5.223689,5.223689,14.919720,0.350120
8,100000000,161026203,9028891,9028904.617886,K=1,1,9028915.205375,24.205375,24.205375,inf,nan
8,100000000,161026203,9028891,9028904.617886,logx,19,9028801.029976,-89.970024,89.970024,102.097361,0.881218
8,100000000,161026203,9028891,9028904.617886,log2x,357,9028864.659130,-26.340870,26.340870,47.018060,0.560229
8,100000000,161026203,9028891,9028904.617886,log3x,6748,9028900.036384,9.036384,9.036384,16.222662,0.557022
8,100000000,161026203,9028891,9028904.617886,Kmax,8000,9028900.237845,9.237845,9.237845,15.186861,0.608279
8,100000000,167547492,9373534,9373621.495312,K=1,1,9373681.901284,147.901284,147.901284,inf,nan
8,100000000,167547492,9373534,9373621.495312,logx,19,9373510.841776,-23.158224,23.158224,103.925896,0.222834
8,100000000,167547492,9373534,9373621.495312,log2x,359,9373515.861101,-18.138899,18.138899,47.772002,0.379697
8,100000000,167547492,9373534,9373621.495312,log3x,6791,9373520.696848,-13.303152,13.303152,16.472702,0.807588
8,100000000,167547492,9373534,9373621.495312,Kmax,8000,9373516.018797,-17.981203,17.981203,15.458853,1.163165
8,100000000,174332882,9731739,9731547.947306,K=1,1,9731641.324140,-97.675860,97.675860,inf,nan
8,100000000,174332882,9731739,9731547.947306,logx,19,9731751.209957,12.209957,12.209957,105.787645,0.115419
8,100000000,174332882,9731739,9731547.947306,log2x,360,9731706.270279,-32.729721,32.729721,48.583173,0.673684
8,100000000,174332882,9731739,9731547.947306,log3x,6834,9731748.313332,9.313332,9.313332,16.726919,0.556787
8,100000000,174332882,9731739,9731547.947306,Kmax,8000,9731751.447702,12.447702,12.447702,15.735786,0.791044
8,100000000,181393069,10103435,10103191.808857,K=1,1,10103290.372917,-144.627083,144.627083,inf,nan
8,100000000,181393069,10103435,10103191.808857,logx,19,10103401.976917,-33.023083,33.023083,107.683217,0.306669
8,100000000,181393069,10103435,10103191.808857,log2x,362,10103419.608251,-15.391749,15.391749,49.363335,0.311805
8,100000000,181393069,10103435,10103191.808857,log3x,6877,10103420.104749,-14.895251,14.895251,16.985385,0.876945
8,100000000,181393069,10103435,10103191.808857,Kmax,8000,10103423.593035,-11.406965,11.406965,16.017751,0.712145
8,100000000,188739182,10489249,10489080.483750,K=1,1,10489153.787747,-95.212253,95.212253,inf,nan
8,100000000,188739182,10489249,10489080.483750,logx,19,10489251.350616,2.350616,2.350616,109.613233,0.021445
8,100000000,188739182,10489249,10489080.483750,log2x,363,10489289.845390,40.845390,40.845390,50.202314,0.813616
8,100000000,188739182,10489249,10489080.483750,log3x,6920,10489263.307014,14.307014,14.307014,17.248173,0.829480
8,100000000,188739182,10489249,10489080.483750,Kmax,8000,10489257.684448,8.684448,8.684448,16.304838,0.532630
8,100000000,196382800,10889788,10889761.672890,K=1,1,10889786.012453,-1.987547,1.987547,inf,nan
8,100000000,196382800,10889788,10889761.672890,logx,19,10889754.088857,-33.911143,33.911143,111.578326,0.303922
8,100000000,196382800,10889788,10889761.672890,log2x,365,10889837.229512,49.229512,49.229512,51.009622,0.965102
8,100000000,196382800,10889788,10889761.672890,log3x,6963,10889772.350392,-15.649608,15.649608,17.515355,0.893479
8,100000000,196382800,10889788,10889761.672890,Kmax,8000,10889781.725902,-6.274098,6.274098,16.597143,0.378023
8,100000000,204335972,11305661,11305804.251933,K=1,1,11305770.308800,109.308800,109.308800,inf,nan
8,100000000,204335972,11305661,11305804.251933,logx,19,11305690.912115,29.912115,29.912115,113.579138,0.263359
8,100000000,204335972,11305661,11305804.251933,log2x,366,11305682.345952,21.345952,21.345952,51.877385,0.411469
8,100000000,204335972,11305661,11305804.251933,log3x,7007,11305651.839437,-9.160563,9.160563,17.786024,0.515043
8,100000000,204335972,11305661,11305804.251933,Kmax,8000,11305652.163596,-8.836404,8.836404,16.894762,0.523026
8,100000000,212611233,11737715,11737798.931073,K=1,1,11737715.201330,0.201330,0.201330,inf,nan
8,100000000,212611233,11737715,11737798.931073,logx,19,11737722.843449,7.843449,7.843449,115.616326,0.067840
8,100000000,212611233,11737715,11737798.931073,log2x,368,11737743.900058,28.900058,28.900058,52.712799,0.548255
8,100000000,212611233,11737715,11737798.931073,log3x,7050,11737721.837152,6.837152,6.837152,18.062212,0.378533
8,100000000,212611233,11737715,11737798.931073,Kmax,8000,11737720.510093,5.510093,5.510093,17.197791,0.320395
8,100000000,221221629,12186029,12186359.376752,K=1,1,12186250.160585,221.160585,221.160585,inf,nan
8,100000000,221221629,12186029,12186359.376752,logx,19,12186182.485353,153.485353,153.485353,117.690558,1.304143
8,100000000,221221629,12186029,12186359.376752,log2x,369,12186044.129951,15.129951,15.129951,53.610357,0.282221
8,100000000,221221629,12186029,12186359.376752,log3x,7094,12186047.539440,18.539440,18.539440,18.342022,1.010763
8,100000000,221221629,12186029,12186359.376752,Kmax,8000,12186049.854613,20.854613,20.854613,17.506331,1.191261
8,100000000,230180731,12651943,12652122.749989,K=1,1,12652021.134403,78.134403,78.134403,inf,nan
8,100000000,230180731,12651943,12652122.749989,logx,19,12651967.379562,24.379562,24.379562,119.802515,0.203498
8,100000000,230180731,12651943,12652122.749989,log2x,371,12651939.563188,-3.436812,3.436812,54.474872,0.063090
8,100000000,230180731,12651943,12652122.749989,log3x,7138,12651954.405547,11.405547,11.405547,18.626514,0.612329
8,100000000,230180731,12651943,12652122.749989,Kmax,8000,12651953.631786,10.631786,10.631786,17.820482,0.596605
8,100000000,239502662,13135800,13135750.913683,K=1,1,13135688.759425,-111.240575,111.240575,inf,nan
8,100000000,239502662,13135800,13135750.913683,logx,19,13135718.507579,-81.492421,81.492421,121.952890,0.668229
8,100000000,239502662,13135800,13135750.913683,log2x,372,13135788.693805,-11.306195,11.306195,55.403273,0.204071
8,100000000,239502662,13135800,13135750.913683,log3x,7182,13135797.164992,-2.835008,2.835008,18.915768,0.149875
