anchor_log10,policy,K,N,sigma_pred_median,sigma_eff_rms,median_abs_err,mean_abs_err,ratio_median,ratio_mean,ks_D_pred,ks_p_pred,ks_D_eff,ks_p_eff,sig_eff_over_sig_pred
7,Kmax,8000,30,5.864692892630725,5.299215019202258,3.0781061574816704,3.8947665281128137,0.5549534567874519,0.6784733511353934,0.18143961129964548,0.24998217556818197,0.19268452020807458,0.19189982623403865,0.9035792864552179
7,log2x,279,30,19.63203169252436,14.841603691709398,10.391403596382588,11.601839555252809,0.5552199451093731,0.5745236540324683,0.1879952659532801,0.2147064873096411,0.1429965474268324,0.538854444509359,0.7559891876784663
7,log3x,4702,30,7.19741408996399,5.366938687962433,3.56334103748668,4.114058930298779,0.5521747921627617,0.5711930119033984,0.2515526140322829,0.0368731246641504,0.12437989894861745,0.7134310234878422,0.7456759637389829
7,logx,17,30,40.10706053703651,29.449009888053876,25.459636860061437,24.745596081072776,0.5913940158222888,0.6147657554652443,0.20532812200416384,0.1397614600547162,0.14889042313506035,0.48626521970713377,0.73425999047872
8,Kmax,8000,30,16.304838093117773,12.732491634378809,8.836404388770461,10.721057194812845,0.5912854138770023,0.641833867061924,0.17956674613160784,0.2608092758071665,0.18892164805098813,0.21004377875525018,0.7809026720573913
8,log2x,362,30,50.20231353271704,32.33307140821167,24.33543996606022,26.707935612803947,0.4278795209498007,0.5262806859544332,0.26156132052953013,0.02666594716620798,0.12683947020140973,0.6903442519640174,0.6440554056764751
8,log3x,6920,30,17.24817285681372,13.736867652430389,9.697392558678985,11.301074914261699,0.5630518703758945,0.6351578026747428,0.17160053714407675,0.31068195226566553,0.12267940271328642,0.7292496691475445,0.796424512118904
8,logx,19,30,109.61323346701293,65.61819988935625,33.023082841187716,47.6879008549576,0.303922312251362,0.42570779007503723,0.35267320734774266,0.0007800414552864691,0.2052994293237168,0.13986531055220852,0.5986339223274846
9,Kmax,8000,30,46.00186641988908,34.67291540248786,24.69938725978136,26.86003846625487,0.5818560698379628,0.557809779342735,0.29185062799285477,0.009258469346238358,0.1263447106848976,0.6950038838380043,0.7537284484504501
9,log2x,456,30,131.2629183247134,81.43517660183284,71.2451046705246,69.21459673891465,0.5582877762900287,0.5308593128313468,0.28511396576705905,0.011832251859130179,0.13751633402357005,0.5895072948661365,0.6203974255728604
9,log3x,8000,30,46.00186641988908,34.67291540248786,24.69938725978136,26.86003846625487,0.5818560698379628,0.557809779342735,0.29185062799285477,0.009258469346238358,0.1263447106848976,0.6950038838380043,0.7537284484504501
9,logx,22,30,304.1625390371371,248.32917725502531,227.4933579787612,202.11430862719814,0.8624710158589347,0.6887491154142126,0.14679274330103337,0.5047169383801106,0.14733385614457273,0.4999273502161125,0.8164357716145487
