n,L0,R0,n_queries,total_small_ops,total_large_ops,total_ops,total_time_s,pn,sympy_pn,agree
100,513,614,7,245,617,862,0.000134,541,541,True
1000,7840,8841,10,2722,5746,8468,0.000949,7919,7919,True
10000,104306,114307,14,22505,49968,72473,0.008381,104729,104729,True
100000,1295639,1395640,16,147429,326690,474119,0.060808,1299709,1299709,True
1000000,15441302,16441303,20,1009076,2325579,3334655,0.459015,15485863,15485863,True
