x,K,M,P,T_direct_total,T_taylor_setup,T_taylor_eval,T_taylor_total,speedup,max_err,per_zero_err,passed_pi_threshold
1000000.0,100,4,2,0.6028459072113037,0.19507551193237305,0.0003216266632080078,0.19539713859558105,3.0852340599471666,1.2422418649293832e-10,1.2422418649293832e-12,1
1000000.0,100,16,2,2.3311691284179688,0.19086647033691406,0.0003616809844970703,0.19122815132141113,12.190512287596205,1.553439332724338e-08,1.553439332724338e-10,1
1000000.0,100,64,2,7.939271450042725,0.18858098983764648,0.0004570484161376953,0.18903803825378418,41.99827465086274,1.1529781644981085e-06,1.1529781644981085e-08,1
1000000.0,100,256,2,33.59391689300537,0.18799328804016113,0.000728607177734375,0.1887218952178955,178.00752188408416,7.700125643594902e-05,7.700125643594902e-07,1
1000000.0,200,4,2,0.8903937339782715,0.2937357425689697,0.0001220703125,0.2938578128814697,3.030015520932976,1.8636825416251668e-10,9.318412708125835e-13,1
1000000.0,200,16,2,2.887561559677124,0.2625434398651123,0.00014853477478027344,0.2626919746398926,10.992195569109011,2.336171078809457e-08,1.1680855394047284e-10,1
1000000.0,200,64,2,13.214813709259033,0.25705981254577637,0.0004684925079345703,0.25752830505371094,51.31402432250276,1.7506590523908017e-06,8.753295261954009e-09,1
1000000.0,200,256,2,53.47921395301819,0.3323357105255127,0.0012309551239013672,0.33356666564941406,160.3254145581382,0.00012133625842025708,6.066812921012854e-07,1
1000000.0,400,4,2,1.5526230335235596,0.5669748783111572,0.00029277801513671875,0.567267656326294,2.7370201988573917,8.349694269327301e-10,2.0874235673318253e-12,1
1000000.0,400,16,2,5.450684547424316,0.5672616958618164,0.00020503997802734375,0.5674667358398438,9.60529349682034,1.0410159845264388e-07,2.602539961316097e-10,1
1000000.0,400,64,2,21.638468265533447,0.6093332767486572,0.0005276203155517578,0.609860897064209,35.48098979570295,7.632911756871863e-06,1.9082279392179657e-08,1
1000000.0,400,256,2,89.7314727306366,0.44395899772644043,0.00281524658203125,0.4467742443084717,200.84298473723615,0.0004845693325314926,1.2114233313287316e-06,1
