K,T_setup_load_s,Hiary_K_pow_17_13
25,0.00010180473327636719,67.30934989450269
50,0.00011181831359863281,166.62110322249225
100,0.0001418590545654297,412.4626382901352
200,0.00016951560974121094,1021.0316982362509
400,0.0002949237823486328,2527.5155420740953
800,0.0005435943603515625,6256.744845886211
1600,0.0010905265808105469,15488.275112405245
3200,0.0022614002227783203,38340.49044133171
