K,min_per_term,max_per_term,spread
25,0.002163686752319336,0.0032432937622070314,0.4989664094076579
50,0.0013563919067382812,0.0024453544616699218,0.8028376972185505
100,0.001062619686126709,0.0016471147537231445,0.5500510438752959
200,0.0008045196533203125,0.0012182509899139405,0.5142588311996207
400,0.0007009506225585938,0.0009769362211227417,0.3937304421768708
800,0.0006574440002441406,0.0008885052800178528,0.3514539332443645
1600,0.0006225411593914032,0.0008717603981494903,0.40032572143779876
3200,0.0006658314168453217,0.0007458942383527755,0.12024488403804642
