x,K,M,P,cluster_mode,T_direct_total_s,T_direct_per_x_s,T_taylor_setup_s,T_taylor_eval_s,T_taylor_total_s,T_taylor_per_x_s,speedup,max_abs_error,mean_abs_error,passed_pi_threshold
1000000.0,200,16,2,integer,3.633620023727417,0.22710125148296356,0.2703371047973633,0.0004303455352783203,0.2707674503326416,0.0169229656457901,13.419707646777573,2.336171078809457e-08,6.225890247790744e-09,1
1000000.0,200,4,2,integer,0.752190351486206,0.1880475878715515,0.31648707389831543,0.00024700164794921875,0.31673407554626465,0.07918351888656616,2.3748324211372553,1.8636825416251668e-10,1.8636825416251668e-10,1
1000000.0,200,8,2,integer,1.778592586517334,0.22232407331466675,0.3155198097229004,0.00022125244140625,0.31574106216430664,0.03946763277053833,5.633073425184661,2.3696919981830433e-09,2.3696919981830433e-09,1
1000000.0,200,16,2,integer,3.4621877670288086,0.21638673543930054,0.31043577194213867,0.0001385211944580078,0.3105742931365967,0.019410893321037292,11.147695876767465,2.336171078809457e-08,2.336171078809457e-08,1
