log10_x_anchor,x,pi_x,K,abs_err
5.0,109158,10379,14000,0.616959
5.0,109158,10379,15000,0.585139
5.0,109158,10379,16000,0.643106
5.0,109158,10379,17000,0.647420
5.0,109158,10379,18000,0.641671
5.0,109158,10379,19000,0.623348
5.0,109158,10379,20000,0.663626
5.0,109631,10423,250,2.445587
5.0,109631,10423,500,1.869970
5.0,109631,10423,750,2.427291
5.0,109631,10423,1000,1.757721
5.0,109631,10423,1500,1.156251
5.0,109631,10423,2000,0.782052
5.0,109631,10423,2500,0.284457
5.0,109631,10423,3000,0.064583
5.0,109631,10423,3500,0.535329
5.0,109631,10423,4000,0.294009
5.0,109631,10423,4500,0.244841
5.0,109631,10423,5000,0.269745
5.0,109631,10423,6000,0.125143
5.0,109631,10423,7000,0.211334
5.0,109631,10423,8000,0.428042
5.0,109631,10423,9000,0.305411
5.0,109631,10423,10000,0.236001
5.0,109631,10423,11000,0.339239
5.0,109631,10423,12000,0.378610
5.0,109631,10423,13000,0.222388
5.0,109631,10423,14000,0.232053
5.0,109631,10423,15000,0.149784
5.0,109631,10423,16000,0.134197
5.0,109631,10423,17000,0.009649
5.0,109631,10423,18000,0.020344
5.0,109631,10423,19000,0.048481
5.0,109631,10423,20000,0.071895
5.0,114315,10817,250,1.557191
5.0,114315,10817,500,1.056011
5.0,114315,10817,750,1.852211
5.0,114315,10817,1000,0.711679
5.0,114315,10817,1500,0.009643
5.0,114315,10817,2000,0.568239
5.0,114315,10817,2500,0.099035
5.0,114315,10817,3000,0.011253
5.0,114315,10817,3500,0.118990
5.0,114315,10817,4000,0.233406
5.0,114315,10817,4500,0.115533
5.0,114315,10817,5000,0.178252
5.0,114315,10817,6000,0.016646
5.0,114315,10817,7000,0.100331
5.0,114315,10817,8000,0.224961
5.0,114315,10817,9000,0.153947
5.0,114315,10817,10000,0.226995
5.0,114315,10817,11000,0.151983
5.0,114315,10817,12000,0.122838
5.0,114315,10817,13000,0.027919
5.0,114315,10817,14000,0.046917
5.0,114315,10817,15000,0.120381
5.0,114315,10817,16000,0.143532
5.0,114315,10817,17000,0.146248
5.0,114315,10817,18000,0.127476
5.0,114315,10817,19000,0.222846
5.0,114315,10817,20000,0.338087
5.0,116417,10996,250,0.866473
5.0,116417,10996,500,0.428385
5.0,116417,10996,750,0.274922
5.0,116417,10996,1000,0.706340
5.0,116417,10996,1500,0.980887
5.0,116417,10996,2000,0.330747
5.0,116417,10996,2500,0.303683
5.0,116417,10996,3000,0.021361
5.0,116417,10996,3500,0.033499
5.0,116417,10996,4000,0.095837
5.0,116417,10996,4500,0.249934
5.0,116417,10996,5000,0.358655
5.0,116417,10996,6000,0.320550
5.0,116417,10996,7000,0.405534
5.0,116417,10996,8000,0.139368
5.0,116417,10996,9000,0.158096
5.0,116417,10996,10000,0.234012
5.0,116417,10996,11000,0.049796
5.0,116417,10996,12000,0.000227
5.0,116417,10996,13000,0.088897
5.0,116417,10996,14000,0.073525
5.0,116417,10996,15000,0.153723
5.0,116417,10996,16000,0.302555
5.0,116417,10996,17000,0.293214
5.0,116417,10996,18000,0.251615
5.0,116417,10996,19000,0.206497
5.0,116417,10996,20000,0.173295
5.0,116968,11041,250,0.244987
5.0,116968,11041,500,0.834548
5.0,116968,11041,750,0.259937
5.0,116968,11041,1000,0.233725
5.0,116968,11041,1500,0.047783
5.0,116968,11041,2000,0.124626
5.0,116968,11041,2500,0.173323
5.0,116968,11041,3000,0.167183
5.0,116968,11041,3500,0.128295
5.0,116968,11041,4000,0.025877
5.0,116968,11041,4500,0.016034
5.0,116968,11041,5000,0.150348
5.0,116968,11041,6000,0.406459
5.0,116968,11041,7000,0.338147
5.0,116968,11041,8000,0.567892
5.0,116968,11041,9000,0.571305
5.0,116968,11041,10000,0.588402
5.0,116968,11041,11000,0.628806
5.0,116968,11041,12000,0.304206
5.0,116968,11041,13000,0.320986
5.0,116968,11041,14000,0.101508
5.0,116968,11041,15000,0.109945
5.0,116968,11041,16000,0.118299
5.0,116968,11041,17000,0.014406
5.0,116968,11041,18000,0.050904
5.0,116968,11041,19000,0.053826
5.0,116968,11041,20000,0.063675
5.0,118470,11172,250,0.811275
5.0,118470,11172,500,2.369695
5.0,118470,11172,750,2.134015
5.0,118470,11172,1000,2.006214
5.0,118470,11172,1500,1.683594
5.0,118470,11172,2000,1.506258
5.0,118470,11172,2500,1.483655
5.0,118470,11172,3000,0.780587
5.0,118470,11172,3500,0.705669
5.0,118470,11172,4000,0.460994
5.0,118470,11172,4500,0.261921
5.0,118470,11172,5000,0.309043
5.0,118470,11172,6000,0.247310
5.0,118470,11172,7000,0.420595
5.0,118470,11172,8000,0.222817
5.0,118470,11172,9000,0.353933
5.0,118470,11172,10000,0.191065
5.0,118470,11172,11000,0.109962
5.0,118470,11172,12000,0.170980
5.0,118470,11172,13000,0.271454
5.0,118470,11172,14000,0.185546
5.0,118470,11172,15000,0.308835
5.0,118470,11172,16000,0.247102
5.0,118470,11172,17000,0.148365
5.0,118470,11172,18000,0.174080
5.0,118470,11172,19000,0.172585
5.0,118470,11172,20000,0.018149
5.0,119877,11290,250,1.930860
5.0,119877,11290,500,0.935939
5.0,119877,11290,750,1.429315
5.0,119877,11290,1000,0.587035
5.0,119877,11290,1500,0.522894
5.0,119877,11290,2000,0.837636
5.0,119877,11290,2500,0.585405
5.0,119877,11290,3000,0.523782
5.0,119877,11290,3500,0.435091
5.0,119877,11290,4000,0.250457
5.0,119877,11290,4500,0.185753
5.0,119877,11290,5000,0.078497
5.0,119877,11290,6000,0.155613
5.0,119877,11290,7000,0.193565
5.0,119877,11290,8000,0.102850
5.0,119877,11290,9000,0.022348
5.0,119877,11290,10000,0.147340
5.0,119877,11290,11000,0.116600
5.0,119877,11290,12000,0.127878
5.0,119877,11290,13000,0.066122
5.0,119877,11290,14000,0.141568
5.0,119877,11290,15000,0.113276
5.0,119877,11290,16000,0.148272
5.0,119877,11290,17000,0.162783
5.0,119877,11290,18000,0.125450
5.0,119877,11290,19000,0.061973
5.0,119877,11290,20000,0.079696
5.0,120325,11328,250,1.312948
5.0,120325,11328,500,0.972233
5.0,120325,11328,750,1.172246
5.0,120325,11328,1000,0.184741
5.0,120325,11328,1500,0.468266
5.0,120325,11328,2000,0.157675
5.0,120325,11328,2500,0.381231
5.0,120325,11328,3000,0.505340
5.0,120325,11328,3500,0.494985
5.0,120325,11328,4000,0.667797
5.0,120325,11328,4500,0.830780
5.0,120325,11328,5000,0.716910
5.0,120325,11328,6000,0.510856
5.0,120325,11328,7000,0.175434
5.0,120325,11328,8000,0.029964
5.0,120325,11328,9000,0.073584
5.0,120325,11328,10000,0.120118
5.0,120325,11328,11000,0.023812
5.0,120325,11328,12000,0.012176
5.0,120325,11328,13000,0.046393
5.0,120325,11328,14000,0.122199
5.0,120325,11328,15000,0.172031
5.0,120325,11328,16000,0.237813
5.0,120325,11328,17000,0.241739
5.0,120325,11328,18000,0.313271
5.0,120325,11328,19000,0.400393
5.0,120325,11328,20000,0.422703
5.0,123465,11602,250,0.240934
5.0,123465,11602,500,0.085182
5.0,123465,11602,750,0.684973
5.0,123465,11602,1000,1.097877
5.0,123465,11602,1500,0.876281
5.0,123465,11602,2000,0.925764
5.0,123465,11602,2500,0.510591
5.0,123465,11602,3000,0.502408
5.0,123465,11602,3500,0.779162
5.0,123465,11602,4000,0.308647
5.0,123465,11602,4500,0.568929
5.0,123465,11602,5000,0.402258
5.0,123465,11602,6000,0.381699
5.0,123465,11602,7000,0.410478
5.0,123465,11602,8000,0.394555
5.0,123465,11602,9000,0.522802
5.0,123465,11602,10000,0.671784
5.0,123465,11602,11000,0.595471
5.0,123465,11602,12000,0.571280
5.0,123465,11602,13000,0.534700
5.0,123465,11602,14000,0.475387
5.0,123465,11602,15000,0.500191
5.0,123465,11602,16000,0.466238
5.0,123465,11602,17000,0.569017
5.0,123465,11602,18000,0.477197
5.0,123465,11602,19000,0.458269
5.0,123465,11602,20000,0.389247
5.0,125247,11756,250,1.519586
5.0,125247,11756,500,1.495140
5.0,125247,11756,750,1.174418
5.0,125247,11756,1000,1.759486
5.0,125247,11756,1500,0.491685
5.0,125247,11756,2000,0.939588
