log10_x_anchor,x,eps,K_emp,K_typ,K_pred_half_gauss,K_galway_c1,c_emp,c_emp_T7_pred,sigma_at_K_emp
5.00,100000.0,1.0,9000,500,27086,41915,0.214719,0.394188,0.593345
5.00,100000.0,3.0,500,250,1563,41915,0.0119289,0.0227466,1.71822
5.30,199526.2314968879,1.0,9000,2000,55007,66525,0.135288,0.504388,0.790681
5.30,199526.2314968879,3.0,2000,250,3390,66525,0.030064,0.0310847,1.40021
5.50,316227.7660168379,1.0,20001,1500,88090,90190,nan,0.595799,nan
5.50,316227.7660168379,3.0,2500,250,5631,90190,0.0277194,0.0380854,1.56393
