anchor_log10,x,sigma_inf,knee_Q,knee_max_p,sigma_Q_30,sigma_Q_50,sigma_Q_100,sigma_Q_200,sigma_Q_500,sigma_Q_1000,sigma_Q_2000,sigma_Q_5000,sigma_Q_inf
9,1000000000,1178.307424,1000,599,40893.115303,29034.977928,24356.079945,3663.256097,1802.579175,1195.037429,1206.900882,1178.307424,1178.307424
9,1154781985,1323.370657,1000,599,46556.086177,33148.478820,27854.506738,4172.768923,2107.733658,1368.285132,1362.941263,1323.370657,1323.370657
9,1333521432,1406.466849,2000,1009,52562.319698,37327.180255,31318.177536,4648.493439,2255.937847,1549.393536,1466.712723,1406.466849,1406.466849
9,1539926526,1609.712183,5000,2003,59740.625642,42333.515878,35465.221985,5458.593152,2841.932170,1894.236447,1745.266239,1609.712183,1609.712183
9,1778279410,1611.662014,2000,1009,68140.670214,48239.124714,40557.286747,6260.839539,3240.995946,1859.204777,1692.120850,1611.662014,1611.662014
