anchor_log10,x,h,max_p_h,S_inf,pi_h,li2_x,sqrt_x,sigma_pred_pois,S_30,r_30,S_50,r_50,S_100,r_100,S_200,r_200,S_500,r_500,S_1000,r_1000,S_2000,r_2000,S_5000,r_5000,r_inf
9,1000000000,802,401,1.323633,3433293,2594294.363534,31622.776602,1853.076601,1.320324,7984.844257,1.320324,7984.844257,1.320324,7984.844257,1.320324,7984.844257,1.323633,-599.887963,1.323633,-599.887963,1.323633,-599.887963,1.323633,-599.887963,-599.887963
9,1000000000,1006,503,1.322959,3432369,2594294.363534,31622.776602,1852.604949,1.320324,7060.844257,1.320324,7060.844257,1.320324,7060.844257,1.320324,7060.844257,1.320324,7060.844257,1.322959,223.901830,1.322959,223.901830,1.322959,223.901830,223.901830
9,1000000000,1198,599,1.322535,3427963,2594294.363534,31622.776602,1852.308206,1.320324,2654.844257,1.320324,2654.844257,1.320324,2654.844257,1.320324,2654.844257,1.320324,2654.844257,1.322535,-3082.690342,1.322535,-3082.690342,1.322535,-3082.690342,-3082.690342
9,1000000000,2018,1009,1.321635,3426900,2594294.363534,31622.776602,1851.677524,1.320324,1591.844257,1.320324,1591.844257,1.320324,1591.844257,1.320324,1591.844257,1.320324,1591.844257,1.320324,1591.844257,1.321635,-1809.653415,1.321635,-1809.653415,-1809.653415
9,1000000000,3030,101,3.556427,9226333,2594294.363534,31622.776602,3037.502144,3.520863,92177.918018,3.520863,92177.918018,3.520863,92177.918018,3.556427,-86.274729,3.556427,-86.274729,3.556427,-86.274729,3.556427,-86.274729,3.556427,-86.274729,-86.274729
9,1000000000,4006,2003,1.320983,3426682,2594294.363534,31622.776602,1851.221206,1.320324,1373.844257,1.320324,1373.844257,1.320324,1373.844257,1.320324,1373.844257,1.320324,1373.844257,1.320324,1373.844257,1.320324,1373.844257,1.320983,-337.953922,-337.953922
9,1154781985,2,0,1.320324,3896843,2952165.308598,33982.083294,1974.288130,1.320324,-970.621608,1.320324,-970.621608,1.320324,-970.621608,1.320324,-970.621608,1.320324,-970.621608,1.320324,-970.621608,1.320324,-970.621608,1.320324,-970.621608,-970.621608
9,1154781985,6,3,2.640647,7792781,2952165.308598,33982.083294,2792.065050,2.640647,-2846.243216,2.640647,-2846.243216,2.640647,-2846.243216,2.640647,-2846.243216,2.640647,-2846.243216,2.640647,-2846.243216,2.640647,-2846.243216,2.640647,-2846.243216,-2846.243216
9,1154781985,14,7,1.584388,4675122,2952165.308598,33982.083294,2162.724288,1.584388,-2254.345930,1.584388,-2254.345930,1.584388,-2254.345930,1.584388,-2254.345930,1.584388,-2254.345930,1.584388,-2254.345930,1.584388,-2254.345930,1.584388,-2254.345930,-2254.345930
9,1154781985,22,11,1.467026,4331200,2952165.308598,33982.083294,2081.082416,1.467026,295.975991,1.467026,295.975991,1.467026,295.975991,1.467026,295.975991,1.467026,295.975991,1.467026,295.975991,1.467026,295.975991,1.467026,295.975991,295.975991
9,1154781985,30,5,3.520863,10397261,2952165.308598,33982.083294,3223.999016,3.520863,3091.342378,3.520863,3091.342378,3.520863,3091.342378,3.520863,3091.342378,3.520863,3091.342378,3.520863,3091.342378,3.520863,3091.342378,3.520863,3091.342378,3091.342378
9,1154781985,38,19,1.397990,4127309,2952165.308598,33982.083294,2031.525726,1.397990,212.224180,1.397990,212.224180,1.397990,212.224180,1.397990,212.224180,1.397990,212.224180,1.397990,212.224180,1.397990,212.224180,1.397990,212.224180,212.224180
9,1154781985,42,7,3.168777,9354574,2952165.308598,33982.083294,3058.554020,3.168777,-178.691859,3.168777,-178.691859,3.168777,-178.691859,3.168777,-178.691859,3.168777,-178.691859,3.168777,-178.691859,3.168777,-178.691859,3.168777,-178.691859,-178.691859
9,1154781985,46,23,1.383196,4084094,2952165.308598,33982.083294,2020.748325,1.383196,670.205934,1.383196,670.205934,1.383196,670.205934,1.383196,670.205934,1.383196,670.205934,1.383196,670.205934,1.383196,670.205934,1.383196,670.205934,670.205934
9,1154781985,58,29,1.369225,4042630,2952165.308598,33982.083294,2010.516622,1.369225,452.910925,1.369225,452.910925,1.369225,452.910925,1.369225,452.910925,1.369225,452.910925,1.369225,452.910925,1.369225,452.910925,1.369225,452.910925,452.910925
9,1154781985,62,31,1.365852,4030392,2952165.308598,33982.083294,2008.039090,1.320324,132578.378392,1.365852,-1828.987870,1.365852,-1828.987870,1.365852,-1828.987870,1.365852,-1828.987870,1.365852,-1828.987870,1.365852,-1828.987870,1.365852,-1828.987870,-1828.987870
9,1154781985,78,13,2.880706,8504074,2952165.308598,33982.083294,2916.216835,2.880706,-246.628963,2.880706,-246.628963,2.880706,-246.628963,2.880706,-246.628963,2.880706,-246.628963,2.880706,-246.628963,2.880706,-246.628963,2.880706,-246.628963,-246.628963
9,1154781985,82,41,1.354178,3998870,2952165.308598,33982.083294,1999.439312,1.320324,101056.378392,1.354178,1112.439376,1.354178,1112.439376,1.354178,1112.439376,1.354178,1112.439376,1.354178,1112.439376,1.354178,1112.439376,1.354178,1112.439376,1112.439376
9,1154781985,106,53,1.346212,3974209,2952165.308598,33982.083294,1993.549934,1.320324,76395.378392,1.320324,76395.378392,1.346212,-32.339679,1.346212,-32.339679,1.346212,-32.339679,1.346212,-32.339679,1.346212,-32.339679,1.346212,-32.339679,-32.339679
9,1154781985,158,79,1.337471,3948414,2952165.308598,33982.083294,1987.066828,1.320324,50600.378392,1.320324,50600.378392,1.337471,-20.577733,1.337471,-20.577733,1.337471,-20.577733,1.337471,-20.577733,1.337471,-20.577733,1.337471,-20.577733,-20.577733
9,1154781985,198,11,2.934053,8661514,2952165.308598,33982.083294,2943.094978,2.934053,-294.048018,2.934053,-294.048018,2.934053,-294.048018,2.934053,-294.048018,2.934053,-294.048018,2.934053,-294.048018,2.934053,-294.048018,2.934053,-294.048018,-294.048018
9,1154781985,218,109,1.332663,3934488,2952165.308598,33982.083294,1983.492321,1.320324,36674.378392,1.320324,36674.378392,1.320324,36674.378392,1.332663,246.213704,1.332663,246.213704,1.332663,246.213704,1.332663,246.213704,1.332663,246.213704,246.213704
9,1154781985,302,151,1.329185,3924642,2952165.308598,33982.083294,1980.902179,1.320324,26828.378392,1.320324,26828.378392,1.320324,26828.378392,1.329185,668.555428,1.329185,668.555428,1.329185,668.555428,1.329185,668.555428,1.329185,668.555428,668.555428
9,1154781985,398,199,1.327026,3915825,2952165.308598,33982.083294,1979.292671,1.320324,18011.378392,1.320324,18011.378392,1.320324,18011.378392,1.327026,-1774.477555,1.327026,-1774.477555,1.327026,-1774.477555,1.327026,-1774.477555,1.327026,-1774.477555,-1774.477555
9,1154781985,502,251,1.325626,3914043,2952165.308598,33982.083294,1978.248592,1.320324,16229.378392,1.320324,16229.378392,1.320324,16229.378392,1.320324,16229.378392,1.325626,575.508426,1.325626,575.508426,1.325626,575.508426,1.325626,575.508426,575.508426
