anchor_log10,x,Q,N_h,sigma_HL_Q,mean_abs,median_abs,sigma_norm_pois,ks_D_eff,ks_p_eff
8,133352143,500,26,582.943677,446.908453,367.186494,0.675851,0.124725,0.786366
8,133352143,1000,26,537.055615,408.425878,333.706245,0.605378,0.150993,0.558372
8,133352143,2000,26,509.224669,386.729602,333.706245,0.561491,0.142549,0.632150
8,133352143,5000,26,510.719771,392.101236,333.706245,0.563876,0.119603,0.826950
8,133352143,inf,26,510.719771,392.101236,333.706245,0.563876,0.119603,0.826950
8,153992653,30,26,7538.021534,4305.521846,1082.180144,8.445967,0.479485,0.000007
8,153992653,50,26,5290.468054,2866.292107,799.852949,5.293231,0.499640,0.000002
8,153992653,100,26,4405.448505,2086.865076,658.289209,3.866698,0.538860,0.000000
8,153992653,200,26,788.711749,602.669000,444.275313,0.904977,0.111697,0.883053
8,153992653,500,26,616.339745,495.290937,385.788776,0.667107,0.095567,0.963415
8,153992653,1000,26,589.917158,473.530383,385.788776,0.629086,0.072178,0.998807
8,153992653,2000,26,557.181931,448.883495,385.788776,0.581047,0.092577,0.972654
8,153992653,5000,26,562.412466,461.287001,397.311020,0.588801,0.127641,0.762166
8,153992653,inf,26,562.412466,461.287001,397.311020,0.588801,0.127641,0.762166
8,177827941,30,26,8603.123146,4933.582017,1129.439999,9.055370,0.474100,0.000009
8,177827941,50,26,6044.861428,3292.992924,815.585458,5.696383,0.496948,0.000003
8,177827941,100,26,5014.184284,2393.645562,712.625643,4.143932,0.542176,0.000000
8,177827941,200,26,885.386774,697.226690,662.110478,0.962432,0.087735,0.984076
8,177827941,500,26,662.782128,562.464176,534.439999,0.676699,0.109682,0.895791
8,177827941,1000,26,628.079886,532.838022,483.544004,0.630037,0.131277,0.731156
8,177827941,2000,26,592.973550,504.835441,462.828237,0.581839,0.143176,0.626614
8,177827941,5000,26,595.599972,513.355387,462.828237,0.585485,0.180248,0.334151
8,177827941,inf,26,595.599972,513.355387,462.828237,0.585485,0.180248,0.334151
