name,embedding,p,N,pi_N,K,L_primes,L_random_mean,L_random_std,n_baseline_trials,L_p_over_L_r,z_score
residue_p2,residue_class,2,1000000,78498,5,2,2.00,0.00,3,1.0000,NA
poly_p2,polynomial_image,2,1000000,78498,5,2,2.00,0.00,3,1.0000,NA
residue_p3,residue_class,3,1000000,78498,5,3,3.00,0.00,3,1.0000,NA
poly_p3,polynomial_image,3,1000000,78498,5,2,2.00,0.00,3,1.0000,NA
residue_p5,residue_class,5,1000000,78498,5,5,5.00,0.00,3,1.0000,NA
poly_p5,polynomial_image,5,1000000,78498,5,3,3.00,0.00,3,1.0000,NA
residue_p7,residue_class,7,1000000,78498,5,7,7.00,0.00,3,1.0000,NA
poly_p7,polynomial_image,7,1000000,78498,5,4,4.00,0.00,3,1.0000,NA
residue_p11,residue_class,11,1000000,78498,5,11,11.00,0.00,3,1.0000,NA
poly_p11,polynomial_image,11,1000000,78498,5,6,6.00,0.00,3,1.0000,NA
residue_p6,residue_class,6,1000000,78498,5,3,6.00,0.00,3,0.5000,NA
poly_p6,polynomial_image,6,1000000,78498,5,2,4.00,0.00,3,0.5000,NA
residue_p30,residue_class,30,1000000,78498,5,9,30.00,0.00,3,0.3000,NA
poly_p30,polynomial_image,30,1000000,78498,5,4,12.00,0.00,3,0.3333,NA
residue_p210,residue_class,210,1000000,78498,5,49,210.00,0.00,3,0.2333,NA
poly_p210,polynomial_image,210,1000000,78498,5,9,48.00,0.00,3,0.1875,NA
residue_p2310,residue_class,2310,1000000,78498,5,433,433.00,0.00,3,1.0000,NA
poly_p2310,polynomial_image,2310,1000000,78498,5,34,288.00,0.00,3,0.1181,NA
