name,embedding,p,N,pi_N,K,L_primes,L_random_mean,L_random_std,n_baseline_trials,L_p_over_L_r,z_score
residue_p6,residue_class,6,100000,9592,5,3,6.00,0.00,5,0.5000,NA
poly_p6,polynomial_image,6,100000,9592,5,2,4.00,0.00,5,0.5000,NA
residue_p30,residue_class,30,100000,9592,5,9,30.00,0.00,5,0.3000,NA
poly_p30,polynomial_image,30,100000,9592,5,4,12.00,0.00,5,0.3333,NA
residue_p210,residue_class,210,100000,9592,5,49,210.00,0.00,5,0.2333,NA
poly_p210,polynomial_image,210,100000,9592,5,9,48.00,0.00,5,0.1875,NA
residue_p2310,residue_class,2310,100000,9592,5,44,44.00,0.00,5,1.0000,NA
poly_p2310,polynomial_image,2310,100000,9592,5,34,288.00,0.00,5,0.1181,NA
