name,N,rank,a,b,intercept,prime_count
residue_p6,100000,1,0,1,5,4806
residue_p6,100000,2,0,1,1,4784
residue_p6,100000,3,1,0,0,2
poly_p6,100000,1,1,0,-1,9590
poly_p6,100000,2,1,-1,-6,2
residue_p30,100000,1,0,1,17,1211
residue_p30,100000,2,0,1,13,1203
residue_p30,100000,3,0,1,7,1200
residue_p30,100000,4,0,1,11,1198
residue_p30,100000,5,0,1,23,1198
residue_p30,100000,6,0,1,29,1198
residue_p30,100000,7,0,1,19,1192
residue_p30,100000,8,0,1,1,1189
residue_p30,100000,9,1,0,0,3
poly_p30,100000,1,1,0,-19,4812
poly_p30,100000,2,1,0,-1,4777
poly_p30,100000,3,1,5,6,2
residue_p210,100000,1,0,1,73,211
residue_p210,100000,2,0,1,197,209
residue_p210,100000,3,0,1,107,208
residue_p210,100000,4,0,1,179,207
residue_p210,100000,5,0,1,187,207
residue_p210,100000,6,0,1,17,205
residue_p210,100000,7,0,1,53,205
residue_p210,100000,8,0,1,139,205
residue_p210,100000,9,0,1,11,204
residue_p210,100000,10,0,1,19,204
poly_p210,100000,1,1,0,-121,1608
poly_p210,100000,2,1,0,-169,1607
poly_p210,100000,3,1,0,-79,1605
poly_p210,100000,4,1,0,-109,1599
poly_p210,100000,5,1,0,-151,1587
poly_p210,100000,6,1,0,-1,1582
poly_p210,100000,7,1,5,6,2
residue_p2310,100000,1,1,0,0,343
residue_p2310,100000,2,1,0,-1,280
residue_p2310,100000,3,1,0,-2,267
residue_p2310,100000,4,1,0,-3,255
residue_p2310,100000,5,1,0,-5,246
residue_p2310,100000,6,1,0,-4,246
residue_p2310,100000,7,1,0,-6,242
residue_p2310,100000,8,1,0,-9,238
residue_p2310,100000,9,1,0,-7,237
residue_p2310,100000,10,1,0,-14,232
poly_p2310,100000,1,1,0,-1849,332
poly_p2310,100000,2,1,0,-949,331
poly_p2310,100000,3,1,0,-331,328
poly_p2310,100000,4,1,0,-961,327
poly_p2310,100000,5,1,0,-379,326
poly_p2310,100000,6,1,0,-289,326
poly_p2310,100000,7,1,0,-1369,325
poly_p2310,100000,8,1,0,-1219,325
poly_p2310,100000,9,1,0,-991,324
poly_p2310,100000,10,1,0,-709,324
