name,N,rank,a,b,intercept,prime_count
residue_p2,1000000,1,0,1,1,78497
poly_p2,1000000,1,1,0,-1,78497
residue_p3,1000000,1,0,1,2,39266
residue_p3,1000000,2,0,1,1,39231
poly_p3,1000000,1,1,0,-1,78497
residue_p5,1000000,1,0,1,3,19665
residue_p5,1000000,2,0,1,2,19622
residue_p5,1000000,3,0,1,1,19617
residue_p5,1000000,4,0,1,4,19593
poly_p5,1000000,1,1,0,-4,39287
poly_p5,1000000,2,1,0,-1,39210
residue_p7,1000000,1,0,1,3,13105
residue_p7,1000000,2,0,1,5,13105
residue_p7,1000000,3,0,1,6,13090
residue_p7,1000000,4,0,1,4,13069
residue_p7,1000000,5,0,1,2,13065
residue_p7,1000000,6,0,1,1,13063
poly_p7,1000000,1,1,0,-2,26174
poly_p7,1000000,2,1,0,-4,26170
poly_p7,1000000,3,1,0,-1,26153
residue_p11,1000000,1,0,1,6,7876
residue_p11,1000000,2,0,1,7,7874
residue_p11,1000000,3,0,1,8,7873
residue_p11,1000000,4,0,1,1,7858
residue_p11,1000000,5,0,1,5,7853
residue_p11,1000000,6,0,1,2,7843
residue_p11,1000000,7,0,1,4,7839
residue_p11,1000000,8,0,1,10,7839
residue_p11,1000000,9,0,1,9,7828
residue_p11,1000000,10,0,1,3,7814
poly_p11,1000000,1,1,0,-3,15729
poly_p11,1000000,2,1,0,-5,15713
poly_p11,1000000,3,1,0,-1,15697
poly_p11,1000000,4,1,0,-9,15687
poly_p11,1000000,5,1,0,-4,15671
residue_p6,1000000,1,0,1,5,39265
residue_p6,1000000,2,0,1,1,39231
residue_p6,1000000,3,1,0,0,2
poly_p6,1000000,1,1,0,-1,78496
poly_p6,1000000,2,1,-1,-6,2
residue_p30,1000000,1,0,1,23,9840
residue_p30,1000000,2,0,1,13,9824
residue_p30,1000000,3,0,1,7,9812
residue_p30,1000000,4,0,1,11,9810
residue_p30,1000000,5,0,1,17,9809
residue_p30,1000000,6,0,1,1,9807
residue_p30,1000000,7,0,1,29,9805
residue_p30,1000000,8,0,1,19,9788
residue_p30,1000000,9,1,0,0,3
poly_p30,1000000,1,1,0,-19,39285
poly_p30,1000000,2,1,0,-1,39210
poly_p30,1000000,3,1,5,6,2
residue_p210,1000000,1,0,1,97,1664
residue_p210,1000000,2,0,1,47,1657
residue_p210,1000000,3,0,1,83,1657
residue_p210,1000000,4,0,1,193,1656
residue_p210,1000000,5,0,1,173,1654
residue_p210,1000000,6,0,1,31,1652
residue_p210,1000000,7,0,1,73,1652
residue_p210,1000000,8,0,1,11,1649
residue_p210,1000000,9,0,1,197,1647
residue_p210,1000000,10,0,1,61,1646
poly_p210,1000000,1,1,0,-109,13100
poly_p210,1000000,2,1,0,-79,13096
poly_p210,1000000,3,1,0,-169,13088
poly_p210,1000000,4,1,0,-121,13077
poly_p210,1000000,5,1,0,-151,13068
poly_p210,1000000,6,1,0,-1,13065
poly_p210,1000000,7,1,5,6,2
