rank,a,b,intercept,prime_count
1,1,-1,2,41
2,1,-1,-18,40
3,1,-1,-4,38
4,1,-1,6,37
5,1,-1,-28,32
6,1,-1,-6,32
7,1,-1,8,32
8,1,-1,12,30
