h,x,K,abs_err
0.0,100000.0,1,2.523946293264089
0.0,100000.0,5,0.34127166920370655
0.0,100000.0,10,0.08573080892165308
0.0,100000.0,25,1.9060581605681364
0.0,100000.0,50,3.091768475887875
0.0,100000.0,100,2.79360648927468
0.0,100000.0,133,0.33290226875033113
0.0,100000.0,150,0.76364107057816
0.0,100000.0,200,1.0086505528452108
0.0,100000.0,250,1.3318885777880496
0.0,100000.0,300,1.5827958739919268
0.0,100000.0,1526,0.12116217286711617
0.0,100000.0,2000,0.16925806941799237
0.0,102996.03658099899,1,5.51656168847876
0.0,102996.03658099899,5,1.5913867529088748
0.0,102996.03658099899,10,4.144093891858574
0.0,102996.03658099899,25,2.740625098518649
0.0,102996.03658099899,50,1.7464933460541943
0.0,102996.03658099899,100,0.1519428971441812
0.0,102996.03658099899,133,0.378417517280468
0.0,102996.03658099899,150,0.25742504512891173
0.0,102996.03658099899,200,0.5698255882034573
0.0,102996.03658099899,250,0.0922246724840079
0.0,102996.03658099899,300,0.8933112720987992
0.0,102996.03658099899,1526,0.5447982661480637
0.0,102996.03658099899,2000,0.05774088999714877
0.0,106081.83551394482,1,2.4291093128795183
0.0,106081.83551394482,5,5.4387317548644205
0.0,106081.83551394482,10,4.40280174093823
0.0,106081.83551394482,25,4.135214700057986
0.0,106081.83551394482,50,3.4842525061540073
0.0,106081.83551394482,100,5.957759024029656
0.0,106081.83551394482,133,3.7493760109446157
0.0,106081.83551394482,150,2.7845699844692717
0.0,106081.83551394482,200,2.5420912094105006
0.0,106081.83551394482,250,1.9051005391847866
0.0,106081.83551394482,300,1.302759153975785
0.0,106081.83551394482,1526,1.2657023570918682
0.0,106081.83551394482,2000,1.4027749268079788
0.0,109260.0861117378,1,2.211914559116849
0.0,109260.0861117378,5,1.645620463305022
0.0,109260.0861117378,10,0.6150556741195032
0.0,109260.0861117378,25,2.264037478751561
0.0,109260.0861117378,50,1.756697412683934
0.0,109260.0861117378,100,0.3195190358801483
0.0,109260.0861117378,133,0.24642563073757628
0.0,109260.0861117378,150,0.9281668632866058
0.0,109260.0861117378,200,0.8858934320469416
0.0,109260.0861117378,250,0.22342916584238992
0.0,109260.0861117378,300,0.17274074834494968
0.0,109260.0861117378,1526,0.2178020604133053
0.0,109260.0861117378,2000,0.5938380402967596
0.0,112533.55826007646,1,1.0270293424346164
0.0,112533.55826007646,5,0.897262582077019
0.0,112533.55826007646,10,0.059751252598289284
0.0,112533.55826007646,25,2.0271221062012046
0.0,112533.55826007646,50,1.3311999933466723
0.0,112533.55826007646,100,1.593354302302032
0.0,112533.55826007646,133,1.9911021507286932
0.0,112533.55826007646,150,0.8562892677000491
0.0,112533.55826007646,200,0.8729430704752303
0.0,112533.55826007646,250,0.5257323850983084
0.0,112533.55826007646,300,1.0721061072235898
0.0,112533.55826007646,1526,1.4393731243435468
0.0,112533.55826007646,2000,1.0562736463780311
0.0,115905.10483144816,1,4.4423151456758205
0.0,115905.10483144816,5,7.3143636467139
0.0,115905.10483144816,10,7.409257040297234
0.0,115905.10483144816,25,7.990502431026471
0.0,115905.10483144816,50,6.95149110213606
0.0,115905.10483144816,100,7.418138966433617
0.0,115905.10483144816,133,7.394485847360556
0.0,115905.10483144816,150,6.450833846865862
0.0,115905.10483144816,200,5.799161434862981
0.0,115905.10483144816,250,5.681679960243855
0.0,115905.10483144816,300,6.200704525081164
0.0,115905.10483144816,1526,2.9652490139142174
0.0,115905.10483144816,2000,2.2375497247521707
0.0,119377.66417144357,1,4.699688214956041
0.0,119377.66417144357,5,2.9546087194394204
0.0,119377.66417144357,10,3.15292906644936
0.0,119377.66417144357,25,2.153562795079779
0.0,119377.66417144357,50,0.6718692634731269
0.0,119377.66417144357,100,0.01451520203227119
0.0,119377.66417144357,133,0.22040678732264496
0.0,119377.66417144357,150,0.4669187008876179
0.0,119377.66417144357,200,0.8022192568332684
0.0,119377.66417144357,250,0.39607059112859133
0.0,119377.66417144357,300,0.2809628275081195
0.0,119377.66417144357,1526,0.1484890405608894
0.0,119377.66417144357,2000,0.20002197316534875
0.0,122954.26265956216,1,3.340513568935421
0.0,122954.26265956216,5,2.8941962305179914
0.0,122954.26265956216,10,2.465671400523206
0.0,122954.26265956216,25,1.8315277677029371
0.0,122954.26265956216,50,0.24922113210777752
0.0,122954.26265956216,100,0.15532742601317295
0.0,122954.26265956216,133,0.5554803057893878
0.0,122954.26265956216,150,0.21267576556056156
0.0,122954.26265956216,200,0.984242187887503
0.0,122954.26265956216,250,0.655260096249549
0.0,122954.26265956216,300,0.4937168503383873
0.0,122954.26265956216,1526,0.08483500493821339
0.0,122954.26265956216,2000,0.1724717077358946
0.0,126638.01734674022,1,2.4705365915560833
0.0,126638.01734674022,5,0.6132266394743056
0.0,126638.01734674022,10,1.365234365197466
0.0,126638.01734674022,25,0.9922284720778407
0.0,126638.01734674022,50,3.0948825222330925
0.0,126638.01734674022,100,1.9998055542691873
0.0,126638.01734674022,133,1.6918753129975812
0.0,126638.01734674022,150,1.6713851311524195
0.0,126638.01734674022,200,0.8125482062296214
0.0,126638.01734674022,250,0.7667435530693183
0.0,126638.01734674022,300,0.7987570991535904
0.0,126638.01734674022,1526,0.15355468976849806
0.0,126638.01734674022,2000,0.11796436809345323
0.0,130432.13867190041,1,2.6920363611097855
0.0,130432.13867190041,5,1.4226852715109999
0.0,130432.13867190041,10,2.7349875590680313
0.0,130432.13867190041,25,2.303243868836944
0.0,130432.13867190041,50,0.9522387462329789
0.0,130432.13867190041,100,0.17260118586636963
0.0,130432.13867190041,133,0.609109083927251
0.0,130432.13867190041,150,0.38654351721925195
0.0,130432.13867190041,200,0.15353442216292024
0.0,130432.13867190041,250,0.12202644388162298
0.0,130432.13867190041,300,0.041705366915266495
0.0,130432.13867190041,1526,0.4417524938653514
0.0,130432.13867190041,2000,0.01957545581717568
0.0,134339.93325988986,1,1.9372876708312106
0.0,134339.93325988986,5,1.0955652688735427
0.0,134339.93325988986,10,1.7560536342007254
0.0,134339.93325988986,25,1.0307979334720585
0.0,134339.93325988986,50,1.5977400316078274
0.0,134339.93325988986,100,1.5647617985614488
0.0,134339.93325988986,133,1.9661286533264501
0.0,134339.93325988986,150,1.7963573263405124
0.0,134339.93325988986,200,1.9506482845481514
0.0,134339.93325988986,250,1.7916925133595214
0.0,134339.93325988986,300,2.079458497235464
0.0,134339.93325988986,1526,0.772760289533835
0.0,134339.93325988986,2000,0.5071109646905825
0.0,138364.8068032461,1,1.646463453043907
0.0,138364.8068032461,5,4.22693201423499
0.0,138364.8068032461,10,1.6236071255243587
0.0,138364.8068032461,25,1.0486130925455655
0.0,138364.8068032461,50,0.7384180109602312
0.0,138364.8068032461,100,1.9101330264857097
0.0,138364.8068032461,133,1.235499514374169
0.0,138364.8068032461,150,1.2231426873622695
0.0,138364.8068032461,200,1.124859414599996
0.0,138364.8068032461,250,1.3595412833856244
0.0,138364.8068032461,300,1.5126373483963107
0.0,138364.8068032461,1526,0.8461926121344732
0.0,138364.8068032461,2000,0.7198564698846894
0.0,142510.26703029993,1,3.4600301149330335
0.0,142510.26703029993,5,5.614363949935068
0.0,142510.26703029993,10,4.658086191600887
0.0,142510.26703029993,25,2.331735287707488
0.0,142510.26703029993,50,1.0903482315970905
0.0,142510.26703029993,100,1.876569423769979
0.0,142510.26703029993,133,2.1252384664858255
0.0,142510.26703029993,150,2.098582562039155
0.0,142510.26703029993,200,1.9960284303051594
0.0,142510.26703029993,250,2.0311349446274107
0.0,142510.26703029993,300,2.919428010520278
0.0,142510.26703029993,1526,1.0680754551885911
0.0,142510.26703029993,2000,1.5571023376069206
0.0,146779.92676220706,1,6.574723306552187
0.0,146779.92676220706,5,7.107848223175097
0.0,146779.92676220706,10,4.582736005879269
0.0,146779.92676220706,25,0.29217547430198465
0.0,146779.92676220706,50,1.677014204529769
0.0,146779.92676220706,100,0.7579349945990543
0.0,146779.92676220706,133,0.934872236699448
0.0,146779.92676220706,150,0.9200168429269979
0.0,146779.92676220706,200,1.9062159657696611
0.0,146779.92676220706,250,1.625541553936273
0.0,146779.92676220706,300,0.6693313191371999
0.0,146779.92676220706,1526,0.313200137396052
0.0,146779.92676220706,2000,0.339157576989237
0.0,151177.5070615663,1,1.335517508081466
0.0,151177.5070615663,5,2.2408767470897146
0.0,151177.5070615663,10,0.4441418004262232
0.0,151177.5070615663,25,1.8378325756766571
0.0,151177.5070615663,50,2.5958108415143215
0.0,151177.5070615663,100,2.9703327220759093
0.0,151177.5070615663,133,2.445001437128667
0.0,151177.5070615663,150,2.446983965985055
