x,pi_x,K_sustained,sqrt_x,K_log2x,abs_err_at_K_log2x,hit_at_K_log2x,K_log3x,abs_err_at_K_log3x,hit_at_K_log3x,K_5log2x,abs_err_at_K_5log2x,hit_at_K_5log2x,K_sqrtx,abs_err_at_K_sqrtx,hit_at_K_sqrtx,K_halfsqrtx,abs_err_at_K_halfsqrtx,hit_at_K_halfsqrtx
1000000.0,78498,5530,1000.0,191,3.084335770778125,0,2637,1.3394022938009584,0,954,1.8018874232366215,0,1000,2.5925826003513066,0,500,4.6532866249617655,0
1029960.36580999,80699,-1,1014.8696299574591,192,1.8332843080861494,0,2654,0.012467157968785614,1,958,1.7681124920927687,0,1015,1.821178689642693,0,507,3.4135185644990997,0
1060818.3551394483,82893,5663,1029.96036580999,193,5.3693856459867675,0,2671,1.4504411545349285,0,963,2.003420969907893,0,1030,2.1239298278378556,0,515,3.7141807538137073,0
1092600.8611173779,85175,6928,1045.2754953204337,193,4.247325537580764,0,2688,0.2925314652384259,1,967,0.3559441503311973,1,1045,0.3166563713020878,1,523,1.452395656509907,0
1125335.5826007645,87544,6840,1060.8183551394482,194,1.7603003009571694,0,2705,0.0009399743576068431,1,971,1.6872474807896651,0,1061,2.2876408149750205,0,530,0.5701896036916878,0
1159051.0483144815,89967,-1,1076.5923315324521,195,0.709367489995202,0,2722,0.31540074331860524,1,975,2.710643476326368,0,1077,2.3414093432365917,0,538,5.973207555536646,0
1193776.6417144358,92499,-1,1092.600861117378,196,1.4076549802848604,0,2740,2.5222721452300902,0,979,2.711071787867695,0,1093,2.477933448390104,0,546,2.0872455245553283,0
1229542.6265956215,95023,-1,1108.8474316133945,197,6.074917408579495,0,2757,2.9629682771483203,0,983,5.396294929945725,0,1109,5.252927920097136,0,554,1.5141790755733382,0
1266380.173467402,97647,-1,1125.3355826007646,197,4.811687290071859,0,2774,1.8548914888815489,0,987,5.087980138006969,0,1125,4.245560721959919,0,563,8.341836158084334,0
1304321.386719004,100340,-1,1142.0689062919996,198,11.608851661236258,0,2792,4.437710413680179,0,991,6.332670031581074,0,1142,6.835594489588402,0,571,8.774082410061965,0
1343399.3325988988,103103,-1,1159.0510483144817,199,10.317291571569513,0,2810,0.6866115095472196,0,996,0.45905187910830136,1,1159,1.775278554734541,0,580,1.9406690762552898,0
1383648.068032461,105934,-1,1176.2857085047242,200,4.316703682037769,0,2827,1.4379309944051784,0,1000,5.534458298032405,0,1176,5.021729483574745,0,588,8.580106098102988,0
1425102.6703029992,108851,6756,1193.776641714437,201,3.1135717444267357,0,2845,3.276872309972532,0,1004,1.7517410757573089,0,1194,1.527428139335825,0,597,0.01182090601650998,1
1467799.2676220706,111900,6743,1211.5276586285888,202,9.990154721730505,0,2863,3.165646853594808,0,1008,6.1957157834549434,0,1212,3.2534599433711264,0,606,3.4183468910632655,0
1511775.070615663,115016,7205,1229.5426265956228,202,2.4852801625820575,0,2881,0.8134515012498014,0,1012,0.6503131156787276,0,1230,0.7036958250391763,0,615,1.5296088956383755,0
1557068.4047537316,118164,7940,1247.8254704700219,203,3.355433750009979,0,2899,0.9706535581935896,0,1016,1.3383134342147969,0,1248,3.3663708799576852,0,624,3.116652511394932,0
1603718.743751331,121413,-1,1266.3801734674034,204,7.519636632176116,0,2917,0.8436161913123215,0,1021,3.5312783762055915,0,1266,0.8161327657144284,0,633,4.609579798561754,0
1651766.7439704584,124759,7331,1285.2107780323267,205,1.7374100160232047,0,2935,1.7558416628889972,0,1025,2.0211142712360015,0,1285,3.1346406358497916,0,643,0.37898776702058967,1
1701254.2798525891,128227,-1,1304.3213867190054,206,6.189654243338737,0,2953,3.601122401334578,0,1029,5.108617810343276,0,1304,6.623134085646598,0,652,2.5103101559652714,0
1752224.4804127838,131766,-1,1323.716163085117,207,5.6742504264984746,0,2971,1.0869691293046344,0,1033,4.00793152715778,0,1324,2.2076945885200985,0,662,3.227615771611454,0
1804721.7668271703,135392,-1,1343.3993325989002,208,5.669067574315704,0,2990,1.6794262545590755,0,1038,1.6973460427543614,0,1343,0.4088950095756445,1,672,2.4993428760790266,0
1858791.8911465635,139164,6818,1363.3751835597432,208,0.8342138864391018,0,3008,0.079873142298311,1,1042,3.2653201485809404,0,1363,2.3061795490793884,0,682,1.170052019006107,0
1914481.9761699575,143032,-1,1383.6480680324594,209,2.330372048658319,0,3027,2.452792957308702,0,1046,3.4973136019834783,0,1384,3.2881012460857164,0,692,6.696537397627253,0
1971840.556512642,146976,-1,1404.2224027954553,210,5.108259329223074,0,3045,1.4254827149852645,0,1050,3.5414904474746436,0,1404,3.9451937423436902,0,702,4.33764558963594,0
2030917.6209047348,151080,-1,1425.1026703029977,211,6.163026823749533,0,3064,1.418499892752152,0,1055,0.04531035025138408,1,1425,1.678332846146077,0,713,2.772831087000668,0
