x,pi_x,K_sustained,K_first_eps05,sqrt_x,Ksust_over_sqrt_x,time_seconds
1000.0,168,77,2,31.622776601683793,2.4349537983296523,6.214450359344482
10000.0,1229,1097,24,100.0,10.97,5.756503582000732
50000.0,5133,-1,42,223.60679774997897,nan,5.007680177688599
100000.0,9592,5375,3,316.22776601683796,16.997242423405037,5.421848773956299
500000.0,41538,-1,155,707.1067811865476,nan,5.730584144592285
1000000.0,78498,5530,3754,1000.0,5.53,4.844481945037842
5000000.0,348513,-1,216,2236.06797749979,nan,5.131615877151489
10000000.0,664579,-1,563,3162.2776601683795,nan,4.815420150756836
