k,m,"S_4(0,2,m,m+2)"
335,2010,12.931294
336,2016,7.540620
337,2022,10.154931
338,2028,14.089844
339,2034,4.271653
340,2040,14.402815
341,2046,7.756935
342,2052,10.884365
343,2058,14.037200
344,2064,4.374088
345,2070,22.120278
346,2076,4.608827
347,2082,9.299839
348,2088,14.679855
349,2094,4.217707
350,2100,20.802893
351,2106,5.690186
352,2112,14.403708
353,2118,8.971927
354,2124,4.311779
355,2130,20.822176
356,2136,4.914378
357,2142,16.382717
358,2148,9.231721
359,2154,6.387487
360,2160,15.098229
361,2166,4.732743
362,2172,11.624314
363,2178,11.609124
364,2184,8.474628
365,2190,12.939172
366,2196,5.773858
367,2202,10.587514
368,2208,10.994022
369,2214,5.935613
370,2220,15.269972
371,2226,7.270033
372,2232,8.969259
373,2238,12.687992
374,2244,6.696658
375,2250,12.525245
376,2256,6.104763
377,2262,11.103188
378,2268,16.051011
379,2274,4.244592
380,2280,20.724705
381,2286,5.368381
382,2292,9.008637
383,2298,12.034734
384,2304,4.159873
385,2310,28.799183
386,2316,5.120521
387,2322,12.260494
388,2328,8.528277
389,2334,4.938429
390,2340,20.443824
391,2346,5.323310
392,2352,16.344618
393,2358,9.501410
394,2364,6.221084
395,2370,13.200068
396,2376,5.707559
397,2382,12.068869
398,2388,8.433243
399,2394,9.189531
400,2400,14.385209
401,2406,5.716986
402,2412,9.405328
403,2418,12.545110
404,2424,5.689148
405,2430,13.310469
406,2436,8.035344
407,2442,13.102289
408,2448,12.787820
409,2454,4.193789
410,2460,13.152735
411,2466,6.433458
412,2472,10.050281
413,2478,14.900969
414,2484,5.783373
415,2490,17.287553
416,2496,5.418154
417,2502,8.455587
418,2508,16.293859
419,2514,4.660051
420,2520,23.336840
421,2526,4.234929
422,2532,13.526439
423,2538,8.790219
424,2544,4.988180
425,2550,25.311298
426,2556,4.283310
427,2562,14.350297
428,2568,8.506647
429,2574,9.173026
430,2580,13.117148
431,2586,4.800002
432,2592,11.418083
433,2598,10.788188
434,2604,7.445188
435,2610,13.560018
436,2616,6.949711
437,2622,10.768748
438,2628,9.630491
439,2634,5.700349
440,2640,16.041657
441,2646,6.952790
442,2652,11.960625
443,2658,12.015951
444,2664,5.353767
445,2670,14.044662
446,2676,6.304479
447,2682,9.946896
448,2688,15.162655
449,2694,4.190079
450,2700,18.077500
451,2706,6.262293
452,2712,9.098619
453,2718,12.217743
454,2724,4.462096
455,2730,30.120992
456,2736,4.852493
457,2742,11.206212
458,2748,9.583103
459,2754,5.571838
460,2760,18.467543
461,2766,4.201595
462,2772,19.329141
463,2778,8.427746
464,2784,6.743126
465,2790,14.842354
466,2796,4.829698
467,2802,11.137484
468,2808,10.911852
469,2814,8.968730
470,2820,14.228058
471,2826,5.683289
472,2832,9.689331
473,2838,11.409514
474,2844,5.916042
475,2850,15.593832
476,2856,7.997056
477,2862,11.039563
478,2868,11.477800
479,2874,4.187715
480,2880,14.359712
481,2886,7.733219
482,2892,9.025865
483,2898,16.001042
484,2904,5.346479
485,2910,18.879137
486,2916,4.409614
487,2922,9.344958
488,2928,14.021370
489,2934,4.222237
490,2940,23.297717
491,2946,5.095789
492,2952,11.941907
493,2958,10.677777
494,2964,5.759955
495,2970,21.821742
496,2976,4.466251
497,2982,14.392525
498,2988,9.966373
499,2994,6.908542
500,3000,13.474618
501,3006,4.307103
502,3012,13.183641
503,3018,9.701215
504,3024,7.546139
505,3030,12.765605
506,3036,8.634034
507,3042,10.841914
508,3048,8.594044
509,3054,5.641724
510,3060,16.560533
511,3066,8.078095
512,3072,8.842844
513,3078,14.361818
514,3084,4.478590
515,3090,12.793441
516,3096,6.969553
517,3102,11.713359
518,3108,14.738362
519,3114,4.614985
520,3120,20.407588
521,3126,5.481352
522,3132,9.004477
523,3138,11.189022
524,3144,5.359648
525,3150,20.897410
526,3156,4.523054
527,3162,14.034377
528,3168,10.719104
529,3174,5.202400
530,3180,18.351068
531,3186,4.331165
532,3192,18.657694
533,3198,11.790594
534,3204,5.695877
535,3210,14.761501
536,3216,4.289808
537,3222,13.584881
538,3228,9.618390
539,3234,9.001408
540,3240,12.473327
541,3246,5.786929
542,3252,9.302930
543,3258,9.952067
544,3264,6.855091
545,3270,13.923057
546,3276,9.740143
547,3282,8.571632
548,3288,12.171021
549,3294,4.347060
550,3300,19.529590
551,3306,6.908704
552,3312,9.213151
553,3318,14.408572
554,3324,4.816059
555,3330,21.080457
556,3336,4.219222
557,3342,10.223474
558,3348,12.134176
559,3354,5.354984
560,3360,22.771989
561,3366,6.422287
562,3372,11.234345
563,3378,9.305833
564,3384,4.692811
565,3390,19.726321
566,3396,4.187342
567,3402,16.166967
568,3408,11.352146
569,3414,5.660587
570,3420,14.959462
571,3426,4.212674
572,3432,18.933292
573,3438,8.619399
574,3444,7.303664
575,3450,13.817576
576,3456,7.548661
577,3462,8.403116
578,3468,9.616501
579,3474,6.720051
580,3480,14.192794
581,3486,8.086189
582,3492,8.513350
583,3498,16.638576
584,3504,4.650833
585,3510,15.278812
586,3516,5.600925
587,3522,9.535159
588,3528,14.622525
589,3534,6.055522
590,3540,21.915466
591,3546,4.209987
592,3552,8.945134
593,3558,11.333414
594,3564,5.980299
595,3570,26.268372
596,3576,4.214634
597,3582,11.251196
598,3588,12.939159
599,3594,4.503846
600,3600,16.685474
601,3606,5.374136
602,3612,17.374531
603,3618,8.696399
604,3624,5.785444
605,3630,16.106950
606,3636,4.915829
607,3642,12.358524
608,3648,9.554304
609,3654,8.669793
610,3660,13.623208
611,3666,7.169500
612,3672,11.049550
613,3678,8.780686
614,3684,6.032077
615,3690,14.840508
616,3696,9.131622
617,3702,8.603566
618,3708,12.532965
619,3714,4.337469
620,3720,17.000530
621,3726,6.556156
622,3732,8.386529
623,3738,17.474970
624,3744,5.080878
625,3750,16.892285
626,3756,4.183974
627,3762,12.396621
628,3768,13.012458
629,3774,5.593831
630,3780,21.921561
631,3786,4.888262
632,3792,11.442003
633,3798,10.082421
634,3804,4.806988
635,3810,18.198295
636,3816,4.609622
637,3822,17.080990
638,3828,11.568946
639,3834,5.757093
640,3840,14.590794
641,3846,4.945405
642,3852,13.558217
643,3858,8.410684
644,3864,7.657528
645,3870,14.983282
646,3876,8.130145
647,3882,8.429392
648,3888,8.797374
649,3894,7.447705
650,3900,15.241981
651,3906,7.571919
652,3912,10.271576
653,3918,12.843998
654,3924,4.976901
655,3930,12.693028
656,3936,6.732199
657,3942,9.621116
658,3948,14.686536
659,3954,5.329737
660,3960,21.443806
661,3966,4.323922
662,3972,8.381553
663,3978,15.931113
664,3984,4.895969
665,3990,23.602881
666,3996,4.408728
667,4002,16.785387
668,4008,8.428352
669,4014,4.613565
670,4020,17.601043
671,4026,6.027226
672,4032,15.949763
673,4038,8.424350
674,4044,6.295458
675,4050,15.001806
676,4056,5.075443
677,4062,11.644775
678,4068,10.725856
