anchor_log10,x_anchor,k_label,H,k,C_H,w_label,w,x,pi_H,HL,residual,abs_residual,log_x,sqrt_HL
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1166473,2,1.285499,0.714501,0.714501,13.969495,1.133799
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1168966,2,1.285106,0.714894,0.714894,13.971630,1.133625
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1174451,2,1.284246,0.715754,0.715754,13.976311,1.133246
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1177941,1,1.283701,-0.283701,0.283701,13.979279,1.133005
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1180641,2,1.283280,0.716720,0.716720,13.981568,1.132820
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1183274,2,1.282871,0.717129,0.717129,13.983796,1.132639
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1189357,2,1.281931,0.718069,0.718069,13.988923,1.132224
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1191128,0,1.281659,-1.281659,1.281659,13.990411,1.132104
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1198036,2,1.280600,0.719400,0.719400,13.996194,1.131636
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1200036,0,1.280295,-1.280295,1.280295,13.997862,1.131501
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1205003,1,1.279539,-0.279539,0.279539,14.001993,1.131167
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1208682,1,1.278983,-0.278983,0.278983,14.005041,1.130921
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1212701,1,1.278376,-0.278376,0.278376,14.008361,1.130653
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1216208,2,1.277850,0.722150,0.722150,14.011248,1.130420
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1219444,1,1.277365,-0.277365,0.277365,14.013906,1.130206
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1222292,1,1.276940,-0.276940,0.276940,14.016238,1.130018
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1226222,2,1.276355,0.723645,0.723645,14.019448,1.129759
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1232459,0,1.275432,-1.275432,1.275432,14.024522,1.129350
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1234953,1,1.275065,-0.275065,0.275065,14.026543,1.129188
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1239821,2,1.274350,0.725650,0.725650,14.030478,1.128871
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1243102,1,1.273870,-0.273870,0.273870,14.033120,1.128658
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1248455,1,1.273090,-0.273090,0.273090,14.037417,1.128313
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1251821,1,1.272602,-0.272602,0.272602,14.040110,1.128097
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1253148,1,1.272410,-0.272410,0.272410,14.041169,1.128011
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1259826,0,1.271447,-1.271447,1.271447,14.046484,1.127585
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1263011,4,1.270990,2.729010,2.729010,14.049009,1.127382
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1267823,0,1.270303,-1.270303,1.270303,14.052812,1.127077
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1271829,2,1.269732,0.730268,0.730268,14.055967,1.126824
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1273233,4,1.269533,2.730467,2.730467,14.057070,1.126736
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1277577,1,1.268918,-0.268918,0.268918,14.060476,1.126463
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1281197,1,1.268408,-0.268408,0.268408,14.063305,1.126236
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1286812,4,1.267619,2.732381,2.732381,14.067678,1.125886
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1289455,2,1.267250,0.732750,0.732750,14.069730,1.125722
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1294686,2,1.266521,0.733479,0.733479,14.073779,1.125398
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1297695,0,1.266103,-1.266103,1.266103,14.076100,1.125212
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1301966,1,1.265512,-0.265512,0.265512,14.079386,1.124950
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1304560,0,1.265154,-1.265154,1.265154,14.081376,1.124791
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1309053,1,1.264537,-0.264537,0.264537,14.084815,1.124516
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1312641,1,1.264046,-0.264046,0.264046,14.087552,1.124298
6,1000000,k2_twin,"(0, 2)",2,1.320337,narrow,190,1317649,1,1.263363,-0.263363,0.263363,14.091360,1.123994
