w_slot3,K,T_corr,leading,Delta_corr
190,31,27510.165921,31465.767513,-3955.601591
259,43,52812.917582,58469.671760,-5656.754178
339,56,92361.183894,100168.350923,-7807.167029
2290,381,4489376.036124,4570903.917269,-81527.881146
3117,519,8351788.794795,8468465.686976,-116676.892181
4071,678,14285565.325606,14445525.071598,-159959.745992
