k_label,x_max,w,H,C_H,hl_pred,mean_emp,err,sigma_pois,err_over_sigma,n_samples
k2_twin,1000000,190,"(0, 2)",1.3203365930110154,1.3143298842367959,1.15,-0.16432988423679595,1.1464422725269667,-0.14333899593093605,20
k3_admiss,1000000,190,"(0, 2, 6)",2.8583327758041563,0.20595179098244115,0.2,-0.005951790982441141,0.4538191170306085,-0.013114897013119246,20
k4_admiss,1000000,190,"(0, 2, 6, 8)",4.151425393439286,0.021651255354478722,0.0,-0.021651255354478722,0.1471436555019574,-0.14714365550195743,20
k2_twin,10000000,259,"(0, 2)",1.3203365930110154,1.3163063201529412,1.7,0.3836936798470587,1.1473039353863217,0.33443071884684233,20
k3_admiss,10000000,259,"(0, 2, 6)",2.8583327758041563,0.17679556536322977,0.2,0.023204434636770244,0.4204706474454903,0.05518681215382213,20
k4_admiss,10000000,259,"(0, 2, 6, 8)",4.151425393439286,0.015930965118274718,0.0,-0.015930965118274718,0.12621792708753665,-0.12621792708753665,20
